"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502
001","80","3.025","18.8","11.3","43.8","11.3","13.8","1.3",".",".",".",".",".",".",".",".",".","."
"Vet Neuroanatomy&Neurophys","505
001","81","2.994","8.6","17.3","48.1","16.0","9.9",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Physiology B","506
001","82","3.146","11.0","26.8","47.6","9.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"Anat-Lrge Domestic Animals","550
001","82","2.907","9.8","15.9","36.6","19.5","18.3",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Toxicology","555
001","84","3.226","16.7","28.6","41.7","9.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"","675
001","83","3.078","16.9","12.0","53.0","10.8","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","002
675","84","3.077","14.3","10.7","59.5","9.5","4.8","1.2",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","167","3.078","15.6","11.4","56.3","10.2","4.8","1.8",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
