"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"104
Second Semester Greek","001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"304
Second Semester Greek","001","","7","3.400","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"306
Intermediate Greek","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Greek Comedy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Aristotle","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Graduate Survey","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Seminar-Drama","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","46","3.694","69.6","13.0","10.9",".","4.3",".",".",".",".",".",".",".",".","2.2",".","."
