"","990
022","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
024","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
033","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","35","3.993","88.6","2.9",".",".",".",".",".","5.7","",".",".","",".","2.9","",".",".",".","."
"M M & I
620","Dept. Total","537","3.095","31.3","16.9","17.9","9.9","14.3","2.8","0.6","5.4","",".",".","",".","0.2","",".","0.2",".","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","34","2.771","14.7","5.9","32.4","8.8","35.3",".",".",".","",".",".","",".",".","",".",".",".","2.9"
"Junior","","119","2.914","23.5","16.0","26.1","10.1","18.5","4.2","0.8",".","",".",".","",".",".","",".","0.8",".","."
"Senior","","277","2.993","31.0","19.9","15.9","13.4","15.5","2.9","0.7","0.4","",".",".","",".",".","",".",".",".","0.4"
"Undergraduates","","430","2.961","27.7","17.7","20.0","12.1","17.9","3.0","0.7","0.2","",".",".","",".",".","",".","0.2",".","0.5"
"Special","","11","3.188","36.4","18.2","9.1","9.1",".","18.2",".",".","",".",".","",".",".","",".",".",".","9.1"
"Graduate","","92","3.853","47.8","14.1","9.8",".",".",".",".","27.2","",".",".","",".","1.1","",".",".",".","."
"Prof Yr 3","","4","4.000","25.0",".",".",".",".",".",".","75.0","",".",".","",".",".","",".",".",".","."
"Professionals","","4","4.000","25.0",".",".",".",".",".",".","75.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","537","3.095","31.3","16.9","17.9","9.9","14.3","2.8","0.6","5.4","",".",".","",".","0.2","",".","0.2",".","0.6"
