"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","","","",""
"990","022","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","023","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","027","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","029","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","030","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","033","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","036","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","037","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","038","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","040","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","041","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","042","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","043","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","063","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","077","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","078","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","080","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","66","4.000","19.7",".","",".",".","",".","",".","",".","33.3","4.5",".",".","42.4",".",".",".","."
"999","009","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","011","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","015","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","022","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","030","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","033","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","043","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","078","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","096","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","16","3.964","87.5","6.3","",".",".","",".","",".","",".","6.3",".",".",".",".",".",".",".","."
