"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"133
Genetics and Human Affairs","001","","54","2.722","14.8","14.8","16.7","18.5","31.5","1.9","1.9",".",".",".",".",".",".",".",".","."
"289","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","158","2.726","10.8","18.4","27.2","16.5","13.9","9.5","1.9",".",".",".",".",".",".",".","0.6","1.3"
"561
Introductory Cytogenetics","001","","24","2.991","16.7","12.5","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","4.2"
"565
Human Genetics","001","","30","2.750","3.3","20.0","23.3","26.7","16.7","3.3",".",".",".",".",".",".",".","3.3",".","3.3"
"566
Advanced Genetics","001","","45","3.800","62.2","35.6","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Eukaryotic Molecular Biol","001","","18","3.324","33.3","11.1","38.9","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"620
Population & Quant Genetics","001","","7","3.250","28.6",".","42.9","14.3",".",".",".",".",".",".",".",".",".","14.3",".","."
"629
Population Genetics","001","","11","3.222","18.2","18.2","27.3","18.2",".",".",".",".",".",".",".",".",".",".","9.1","9.1"
"677","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","005","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","10","3.364","40.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.474","50.0","16.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
