"L&S","","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","4327","3.009","28.4","13.4","26.6","8.2","14.1","3.4","1.6","2.4","",".","0.9","",".","0.5","",".","0.1","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1003","2.803","17.8","11.4","29.8","11.2","22.7","4.3","2.1",".","",".",".","",".",".","",".","0.3",".","0.4"
"Sophomore","","1379","3.048","28.1","14.4","28.4","9.2","14.3","3.8","1.6",".","",".",".","",".",".","",".",".",".","0.1"
"Junior","","897","3.025","27.9","14.3","33.0","6.1","13.8","3.1","1.3",".","",".",".","",".",".","",".","0.1",".","0.3"
"Senior","","587","3.021","34.8","16.0","23.7","8.7","9.0","4.1","2.7","0.3","",".","0.2","",".",".","",".","0.2","0.3","."
"Undergraduates","","3866","2.961","26.4","13.8","29.1","8.9","15.6","3.8","1.8","0.1","",".","0.0","",".",".","",".","0.1","0.1","0.2"
"Special","","54","3.341","42.6","18.5","18.5","7.4","11.1",".",".","1.9","",".",".","",".",".","",".",".",".","."
"Graduate","","509","3.850","46.8","6.7","3.3","0.8",".",".",".","29.3","",".","6.9","",".","5.1","",".",".","1.0","0.2"
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","7","4.000","57.1",".",".",".",".",".",".","28.6","",".","14.3","",".",".","",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","10","3.545","60.0",".","10.0",".",".",".",".","20.0","",".","10.0","",".",".","",".",".",".","."
"","Dept. Total","4439","3.009","29.0","13.0","26.0","8.0","13.7","3.3","1.6","3.5","",".","0.8","",".","0.6","",".","0.1","0.2","0.2"
