"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","19","3.737","89.5",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","30","3.717","73.3","16.7","3.3",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Ind Engr Problem Solving","275","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","79","3.646","59.5","15.2","21.5","2.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","82","3.360","25.6","40.2","22.0","7.3","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","33","3.288","27.3","30.3","27.3","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"","321","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","33","3.909","87.9","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","47","3.191","27.7","12.8","38.3","12.8","8.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","48","3.563","39.6","35.4","22.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","32","3.375","34.4","28.1","21.9","9.4","6.3",".",".",".",".",".",".",".",".",".",".","."
"","476","001","","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","","Course Total","","28","3.875","85.7","3.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578","001","","15","3.433","20.0","46.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multiple Criteria Evaluatn","613","001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plan Lrge-Scale Complex Sys","616","001","","35","3.714","54.3","34.3","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","13","3.333","7.7","46.2","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociotechnical Systems","652","001","","25","3.180","32.0","12.0","32.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Advanced CAD/CAM","655","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","30","3.883","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","001","","11","3.800","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Topics in Human Factors","692","001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Quantitative Methods","693","001","","17","3.559","41.2","29.4","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","19","3.779","52.6","10.5",".","5.3",".",".",".","26.3",".",".",".","5.3",".",".",".","."
"Adv Mthds-Quality Improvmnt","715","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
