"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"EGR","College Total","9780","3.225","34.5","19.5","20.1","8.1","8.2","2.0","0.9","4.2","0.1","0.0",".","1.5","0.3","0.1","0.2","0.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EGR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","435","2.954","23.9","21.1","26.4","11.7","11.0","2.8","2.5",".",".",".",".",".",".","0.2",".","0.2"
"Sophomore","","1037","3.036","27.8","20.9","24.4","10.9","12.1","1.4","1.4",".",".",".",".",".","0.2","0.1",".","1.0"
"Junior","","1863","3.030","27.5","20.1","25.7","9.9","11.3","3.1","1.4","0.2",".",".",".",".",".","0.1","0.1","0.6"
"Senior","","4173","3.162","32.9","21.3","22.2","9.8","9.6","2.7","0.8","0.4",".",".",".",".","0.0","0.1","0.0","0.2"
"Undergraduates","","7508","3.103","30.4","20.9","23.6","10.1","10.4","2.6","1.1","0.3",".",".",".",".","0.0","0.1","0.0","0.4"
"Special","","173","3.387","44.5","19.1","12.1","4.6","6.9","1.2","1.7","1.7",".","0.6",".",".","3.5","0.6","3.5","."
"Graduate","","2182","3.750","46.9","13.8","7.7","1.1","0.3","0.1","0.0","18.0","0.3","3.3",".","6.8","0.9","0.1","0.5","0.1"
"","College Total","9863","3.225","34.3","19.3","19.9","8.0","8.1","2.0","0.9","4.2","0.1","0.8",".","1.5","0.3","0.1","0.2","0.3"
