"","990
057","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
085","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"PhD Thesis-Accounting","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"Readng & Rsch-Accountng PhD","999
024","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"ACCT I S
232","Dept. Total","2215","3.097","27.9","15.9","28.9","8.4","14.0","3.3","1.0","0.2","0.1",".","",".","0.0","",".","0.0","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","64","2.833","28.1","9.4","21.9","7.8","21.9","4.7","4.7",".",".",".","",".",".","",".",".",".","1.6"
"Sophomore","","413","2.887","21.1","12.8","30.5","8.7","20.3","4.8","1.5",".",".",".","",".",".","",".",".",".","0.2"
"Junior","","674","2.947","20.0","14.2","34.1","9.6","17.1","4.2","0.7",".",".",".","",".",".","",".",".",".","."
"Senior","","714","3.170","30.8","15.7","26.5","9.4","13.0","2.9","1.1","0.6",".",".","",".",".","",".",".",".","."
"Undergraduates","","1865","3.019","24.7","14.3","30.0","9.3","16.4","3.9","1.2","0.2",".",".","",".",".","",".",".",".","0.1"
"Special","","28","3.244","21.4","35.7","14.3","21.4","3.6",".",".",".",".",".","",".",".","",".",".","3.6","."
"Graduate","","317","3.590","47.6","23.3","24.3","2.5","0.6","0.3",".",".","0.6",".","",".","0.3","",".","0.3",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","3.591","50.0","25.0","25.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","","5","3.571","40.0","40.0","20.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"","Dept. Total","2215","3.097","27.9","15.9","28.9","8.4","14.0","3.3","1.0","0.2","0.1",".","",".","0.0","",".","0.0","0.0","0.1"
