"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","160
001","115","2.876","11.3","20.9","23.5","22.6","17.4","2.6",".","0.9",".",".",".",".",".","0.9",".","."
"","160
002","8","2.375","12.5","12.5","25.0","12.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","123","2.851","11.4","20.3","23.6","22.0","17.1","3.3","0.8","0.8",".",".",".",".",".","0.8",".","."
"","001
202","144","2.754","13.2","19.4","12.5","28.5","16.0","6.3","1.4","0.7",".",".",".",".",".","0.7",".","1.4"
"","002
202","349","2.857","18.3","17.2","15.5","26.9","13.8","6.0","0.6","1.1",".",".",".",".",".","0.3",".","0.3"
"","003
202","352","2.793","15.3","19.0","17.0","17.0","26.4","3.1","1.4","0.3",".",".",".",".",".",".",".","0.3"
"","202
004","203","2.713","15.8","18.2","13.3","16.3","27.1","8.4","0.5","0.5",".",".",".",".",".",".",".","."
"","005
202","368","2.740","14.9","16.6","18.5","16.3","24.7","6.0","1.4","0.3",".",".",".",".",".","0.5","0.5","0.3"
"Introduction to Psychology","Course Total","1416","2.779","15.8","17.9","16.0","20.3","21.9","5.6","1.1","0.6",".",".",".",".",".","0.3","0.1","0.4"
"","210
001","55","2.574","12.7","7.3","21.8","25.5","18.2","10.9","1.8",".",".",".",".",".",".",".",".","1.8"
"","210
002","62","2.697","17.7","8.1","22.6","22.6","21.0",".","6.5",".",".",".",".",".",".",".",".","1.6"
"","003
210","62","2.911","21.0","17.7","33.9","3.2","16.1","3.2","4.8",".",".",".",".",".",".",".",".","."
"","004
210","55","2.843","18.2","16.4","30.9","7.3","16.4","5.5","3.6","1.8",".",".",".",".",".",".",".","."
"","210
005","55","2.936","21.8","10.9","32.7","12.7","16.4","5.5",".",".",".",".",".",".",".",".",".","."
"","210
006","57","2.825","22.8","3.5","36.8","10.5","17.5","7.0","1.8",".",".",".",".",".",".",".",".","."
"","210
007","52","2.702","30.8","5.8","23.1","3.8","21.2","5.8","9.6",".",".",".",".",".",".",".",".","."
"Psychometric Methods","Course Total","398","2.786","20.6","10.1","28.9","12.3","18.1","5.3","4.0","0.3",".",".",".",".",".",".",".","0.5"
"","225
001","40","2.663","17.5","12.5","20.0","10.0","30.0","7.5","2.5",".",".",".",".",".",".",".",".","."
"","225
002","42","2.583","9.5","9.5","23.8","16.7","35.7","2.4","2.4",".",".",".",".",".",".",".",".","."
"","003
225","44","3.000","18.2","22.7","20.5","18.2","20.5",".",".",".",".",".",".",".",".",".",".","."
"","225
004","39","2.590","5.1","5.1","33.3","30.8","20.5","2.6","2.6",".",".",".",".",".",".",".",".","."
"","225
005","43","2.779","7.0","20.9","32.6","18.6","16.3",".","4.7",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","208","2.728","11.5","14.4","26.0","18.8","24.5","2.4","2.4",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Psych-Graduate","325
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","386
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","386
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Motivation","409
001","96","2.615","16.7","14.6","22.9","12.5","10.4","22.9",".",".",".",".",".",".",".",".",".","."
"","411
013","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","026
411","23","3.130","39.1","8.7","17.4","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","411
033","32","3.359","50.0","6.3","28.1","3.1","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"","411
034","22","3.167","22.7","18.2","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".","4.5"
"","411
035","20","3.575","40.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","411
036","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
037","24","3.771","75.0","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","411
038","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
039","25","3.560","52.0","32.0","12.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","411
040","22","3.425","50.0","9.1","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","041
411","31","3.601","45.2","35.5","16.1",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","259","3.519","49.8","22.8","16.6","5.0","4.2","0.8","0.4",".",".",".",".",".",".",".",".","0.4"
"Cognitive Psychology","414
001","85","2.798","9.4","5.9","42.4","22.4","17.6",".","1.2","1.2",".",".",".",".",".",".",".","."
