"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"General Physics","103
001","271","2.914","12.9","22.1","26.9","21.4","10.7","2.2","2.2",".",".",".",".",".",".",".",".","1.5"
"","104
001","276","3.002","16.3","22.8","22.8","19.6","16.3","0.7",".","1.4",".",".",".",".",".",".",".","."
"","104
002","190","2.906","14.7","16.3","25.8","21.1","19.5","1.1",".","0.5",".",".",".",".",".",".","0.5","0.5"
"General Physics","Course Total","466","2.963","15.7","20.2","24.0","20.2","17.6","0.9",".","1.1",".",".",".",".",".",".","0.2","0.2"
"Ideas of Modern Physics","107
001","156","2.765","17.3","17.3","16.0","16.7","23.7","7.7","0.6",".",".",".",".",".",".",".","0.6","."
"","109
001","94","2.947","12.8","19.1","35.1","17.0","12.8","3.2",".",".",".",".",".",".",".",".",".","."
"","002
109","89","3.080","20.2","21.3","27.0","19.1","10.1",".","1.1",".",".",".",".",".",".",".",".","1.1"
"Physics in the Arts","Course Total","183","3.011","16.4","20.2","31.1","18.0","11.5","1.6","0.5",".",".",".",".",".",".",".",".","0.5"
"Energy","115
001","14","3.671","35.7","64.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","205","2.826","18.5","11.7","27.3","7.3","32.7","0.5","1.5",".",".",".",".",".",".","0.5",".","."
"","201
002","125","2.657","16.8","7.2","19.2","11.2","42.4","0.8","1.6",".",".",".",".",".",".",".",".","0.8"
"General Physics","Course Total","330","2.762","17.9","10.0","24.2","8.8","36.4","0.6","1.5",".",".",".",".",".",".","0.3",".","0.3"
"","001
202","120","2.954","18.3","14.2","33.3","15.0","15.8","0.8","1.7","0.8",".",".",".",".",".",".",".","."
"","002
202","190","2.982","17.9","18.4","26.3","21.1","14.7","1.1","0.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","310","2.971","18.1","16.8","29.0","18.7","15.2","1.0","1.0","0.3",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","33","2.939","27.3","6.1","36.4",".","24.2","6.1",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","107","2.929","17.8","21.5","23.4","16.8","15.0","1.9","2.8",".",".",".",".",".",".",".",".","0.9"
"General Physics","208
001","172","2.820","19.8","20.3","13.4","16.9","20.3","8.7","0.6",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","36","2.875","13.9","22.2","25.0","19.4","13.9","2.8","2.8",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","57","2.875","10.5","17.5","33.3","17.5","17.5",".","1.8",".",".",".",".",".",".","1.8",".","."
"Intro-Medical Physics","265
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","12","3.583","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","308
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","23","3.000","17.4","17.4","39.1","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","21","2.929","33.3","9.5","14.3","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","16","3.188","18.8","31.3","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","12","3.182","25.0","33.3","25.0",".",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thermal Physics","415
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","15","3.367","33.3","40.0","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 262 of 374",""
