"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"100
Ed Found-Human&Naturl Rsrce","001","","21","3.500","38.1","33.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Fam & Consmr Ed for Adults","001","","19","3.000","21.1","10.5","36.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"345
Practicum in Vocational Ed","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Teaching Vocational Educ","001","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"602
Intro-Eval in Cont & Voc Ed","001","","24","3.643","50.0","20.8","12.5",".","4.2",".",".",".",".",".",".",".","8.3",".","4.2","."
"609
Iss & Probs-Cont & Voc Educ","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Anal&Develp-Adlt Ed Philos","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Facilitating Adult Learning","001","","17","3.700","52.9","17.6","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","5.9"
"643
Adult Independent Learner","001","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Eval-Cont Education Progrms","001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"660
Principles-Voc & Tech Educ","001","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"665
Career Dev Through Life Spn","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","11","3.750","54.5","9.1","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"729
Iss & Probs-Cont & Voc Educ","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Teaching-Learning: Adult Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"795","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"795","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship-Adult & Ext Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"901
Smr-Continuing & Vocat Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","11","4.000","18.2",".",".",".",".",".",".","72.7",".",".",".",".","9.1",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","9","4.000","44.4",".",".",".",".",".",".","33.3",".",".",".","22.2",".",".",".","."
"990","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","44","4.000","18.2",".",".",".",".",".",".","47.7","2.3",".",".","29.5","2.3",".",".","."
"999
Advanced Independent Study","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
