"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"991","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","35","4.000","42.9",".",".",".",".",".",".","22.9",".",".",".","34.3",".",".",".","."
"993
Independent Study-Nutrition","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"NUTR SCI
694","Dept. Total","","767","2.931","24.1","13.2","18.0","8.7","20.1","3.1","1.3","8.0",".","1.6",".","1.6",".",".",".","0.4"
