"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","201
002","","14","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","201
003","","20","3.833","70.0","10.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".","5.0","."
"Intermediate Swimming","Course Total","","51","3.733","52.9","13.7","15.7",".",".",".",".","13.7",".",".",".",".",".",".","2.0","2.0"
"","211
001","","26","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","211
002","","16","3.417","18.8","37.5","12.5",".","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","42","3.794","59.5","14.3","4.8",".","2.4",".",".","19.0",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","26","3.263","19.2","19.2","23.1","3.8","7.7",".",".","23.1","3.8",".",".",".",".",".",".","."
"Weight Training II","232
001","","17","3.636","29.4","23.5","11.8",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"","238
001","","13","3.688","30.8","23.1","7.7",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"","238
002","","16","3.182",".","25.0","43.8",".",".",".",".","25.0",".",".",".",".",".",".",".","6.3"
"Golf II","Course Total","","29","3.395","13.8","24.1","27.6",".",".",".",".","31.0",".",".",".",".",".",".",".","3.4"
"Power Skating","244
001","","23","3.462","17.4","21.7","13.0","4.3",".",".",".","34.8","4.3",".",".",".",".","4.3",".","."
"","262
001","","19","3.769","47.4","10.5","10.5",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"","262
002","","17","3.409","29.4","5.9","17.6","11.8",".",".",".","35.3",".",".",".",".",".",".",".","."
"","262
003","","18","3.643","16.7","16.7","5.6",".",".",".",".","61.1",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","54","3.613","31.5","11.1","11.1","3.7",".",".",".","42.6",".",".",".",".",".",".",".","."
"Racquetball II","001
263","","16","3.650","31.3","18.8","12.5",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Basketball II","270
001","","15","3.231","20.0","53.3",".",".",".","13.3",".","13.3",".",".",".",".",".",".",".","."
"Soccer II","273
001","","24","3.762","54.2","16.7","12.5",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","275
001","","30","3.705","46.7","16.7","3.3","6.7",".",".",".","26.7",".",".",".",".",".",".",".","."
"","275
002","","28","3.818","60.7","14.3",".",".","3.6",".",".","21.4",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","58","3.761","53.4","15.5","1.7","3.4","1.7",".",".","24.1",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","29","3.045","3.4","24.1","31.0","10.3","6.9",".",".","20.7",".",".",".",".",".","3.4",".","."
"Bicycling","295
001","","21","3.400","23.8","23.8","14.3","4.8","4.8",".",".","28.6",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301
001","","20","3.950","45.0","5.0",".",".",".",".",".","45.0",".",".",".",".",".","5.0",".","."
"Aquatic Conditioning","303
001","","22","3.588","45.5","4.5","22.7","4.5",".",".",".","18.2",".",".",".",".",".","4.5",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","20","3.563","30.0","30.0","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","18","3.857","55.6","22.2",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Lifeguard Training Renewal","313
001","","14","3.556","21.4","28.6","14.3",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","","19","3.824","68.4","15.8",".","5.3",".",".",".",".",".",".",".",".",".","10.5",".","."
"Triathlon Training","330
001","","27","3.200","7.4","22.2","3.7",".",".",".","3.7","63.0",".",".",".",".",".",".",".","."
"","362
001","","18","3.375","33.3","16.7","11.1",".",".",".","5.6","33.3",".",".",".",".",".",".",".","."
"","362
002","","19","3.625","21.1","36.8","5.3",".",".",".",".","31.6",".",".",".",".",".","5.3",".","."
"Tennis III","Course Total","","37","3.500","27.0","27.0","8.1",".",".",".","2.7","32.4",".",".",".",".",".","2.7",".","."
