"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"","201","001","346","3.071","22.5","15.9","35.0","12.1","10.7","2.0","0.9","0.3",".",".",".",".",".","0.6",".","."
"","201","002","176","2.960","11.4","23.3","30.1","19.9","14.2","0.6","0.6",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","","Course Total","522","3.034","18.8","18.4","33.3","14.8","11.9","1.5","0.8","0.2",".",".",".",".",".","0.4",".","."
"","205","001","16","3.156","12.5","43.8","31.3",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","205","002","13","3.458","7.7","69.2","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","205","003","13","3.154","23.1","15.4","46.2",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","205","004","16","3.031","18.8","25.0","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"","205","005","12","3.083","16.7","41.7","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","","Course Total","70","3.167","15.7","38.6","27.1","5.7","8.6","1.4","1.4",".",".",".",".",".",".","1.4",".","."
"","230","001","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","230","002","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","","Course Total","20","3.525","45.0","25.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Principles of Advertising","246","001","223","3.180","15.2","37.7","25.6","13.0","4.9","0.4","1.3","1.3",".",".",".",".",".",".",".","0.4"
"Effects-Mass Communication","265","001","376","3.117","8.2","33.0","37.5","17.6","3.2","0.5",".",".",".",".",".",".",".",".",".","."
"","301","001","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301","002","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting of Public Affairs","","Course Total","26","3.481","38.5","23.1","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304","002","14","3.385","14.3","50.0","21.4","7.1",".",".",".",".",".",".",".",".",".","7.1",".","."
"Writing of Feature Articles","305","001","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication Graphics","311","001","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Practices","325","001","67","3.433","22.4","41.8","35.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Broadcast News","351","001","17","3.500","17.6","76.5",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Television News","352","001","13","3.423","7.7","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"TV Documntry Dsgn&Productn","354","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and the Consumer","446","001","92","3.253","21.7","34.8","25.0","12.0","5.4","1.1",".",".",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450","001","62","3.452","37.1","27.4","27.4","4.8","3.2",".",".",".",".",".",".",".",".",".",".","."
"Adv Advertising Copy&Layout","451","001","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454","001","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459","001","44","3.398","27.3","40.9","25.0","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","525","001","38","3.316","13.2","50.0","23.7","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","76","2.914","13.2","11.8","42.1","15.8","14.5","2.6",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","25","3.500","32.0","32.0","32.0",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"Mass Media and Minorities","562","001","33","3.212","18.2","24.2","39.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","575","093","21","3.625","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","61","3.074","14.8","18.0","45.9","9.8","11.5",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","7","3.429","28.6","57.1",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621","001","34","3.088","14.7","26.5","38.2","14.7","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
