"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Independent Reading","15","4.000","40.0",".",".",".",".","",".",".","60.0","",".",".","",".",".",".",".",".","."
"ED POL
Dept. Total
310","407","3.656","48.2","30.0","8.1","3.7","0.5","",".","0.2","5.9","",".",".","",".","2.0","0.7","0.2",".","0.5"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","12","3.529","50.0","25.0","8.3","16.7",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","115","3.549","45.2","31.3","13.9","5.2","1.7","",".","0.9",".","",".",".","",".",".",".",".",".","1.7"
"Senior","119","3.605","45.4","36.1","10.9","5.9",".","",".",".","0.8","",".",".","",".",".",".","0.8",".","."
"Undergraduates","246","3.575","45.5","33.3","12.2","6.1","0.8","",".","0.4","0.4","",".",".","",".",".",".","0.4",".","0.8"
"Special","20","3.763","60.0","35.0","5.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","141","3.824","51.1","23.4","1.4",".",".","",".",".","16.3","",".",".","",".","5.7","2.1",".",".","."
"Dept. Total","407","3.656","48.2","30.0","8.1","3.7","0.5","",".","0.2","5.9","",".",".","",".","2.0","0.7","0.2",".","0.5"
