"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","21","3.638","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Chinese Historical Texts","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Studies-Japanese Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Stdys-Japanese Linguistics","001","","11","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"933
Smr-Japanese Linguistics","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","12","4.000","16.7",".",".",".",".",".",".","58.3",".",".",".","25.0",".",".",".","."
"999
Independent Research","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","","551","3.313","36.5","26.5","14.5","7.3","5.6","1.1","1.6","5.4","0.2",".",".","0.5","0.2","0.2",".","0.4"
