"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"CHICANA/O & LATINA/O STUDIE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Chicano Studies","101
001","30","3.217","33.3","20.0","30.0","3.3","6.7","6.7",".","",".",".","",".",".","",".","",".",".",".","."
"Intro to Chicano Culture","210
001","23","3.500","34.8","39.1","17.4","8.7",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"","330
001","28","3.593","50.0","28.6","10.7",".","7.1",".",".","",".",".","",".",".","",".","","3.6",".",".","."
"","002
330","45","3.591","60.0","11.1","20.0","2.2","2.2","2.2",".","","2.2",".","",".",".","",".","",".",".",".","."
"","330
003","9","2.714",".","11.1","22.2","33.3","11.1",".",".","","11.1",".","",".",".","",".","",".","11.1",".","."
"Topics in Chicano/a Studies","Course Total","82","3.513","50.0","17.1","17.1","4.9","4.9","1.2","",".","2.4","",".",".","",".","",".","1.2","1.2",".","."
"Chicano & Chicana Autobiog","450
001","11","3.364","45.5","27.3","9.1","9.1",".","9.1",".","",".",".","",".",".","",".","",".",".",".","."
"CHICLA
228","Dept. Total","146","3.437","43.8","21.9","19.2","5.5","4.1","2.7","",".","1.4","",".",".","",".","",".","0.7","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.283","20.8","33.3","29.2","4.2","8.3",".","",".",".","",".",".","",".","",".","4.2",".",".","."
"Sophomore","","41","3.256","31.7","29.3","24.4","2.4","4.9","7.3","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","31","3.483","54.8","16.1","9.7","6.5","6.5","3.2","",".",".","",".",".","",".","",".",".","3.2",".","."
"Senior","","47","3.620","57.4","14.9","17.0","8.5",".",".","",".","2.1","",".",".","",".","",".",".",".",".","."
"Undergraduates","","143","3.429","43.4","22.4","19.6","5.6","4.2","2.8","",".","0.7","",".",".","",".","",".","0.7","0.7",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","2","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","146","3.437","43.8","21.9","19.2","5.5","4.1","2.7","",".","1.4","",".",".","",".","",".","0.7","0.7",".","."
