"Venice&The Repub-Hist&Cult","326
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"A Theme-Medieval Eng Lit","362
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Byzantine Med & Pharmacy","562
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intro to Middle High German","651
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","11","2.897","36.4","18.2","",".","9.1","27.3","",".","9.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","2.950","33.3",".","",".","33.3","33.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","0.000",".",".","",".",".",".","",".","100.0","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.286","42.9","28.6","",".",".","28.6","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","11","2.897","36.4","18.2","",".","9.1","27.3","",".","9.1","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","11","2.897","36.4","18.2","",".","9.1","27.3","",".","9.1","",".","",".",".","",".","",".","",".",".",".","."
