"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","27","3.182","22.2","22.2","22.2","7.4","3.7",".","3.7","14.8",".",".",".",".",".",".","3.7","."
"","101
002","19","3.111","21.1","21.1","21.1","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","101
004","21","3.139","38.1","19.0","9.5","4.8",".","9.5","4.8","14.3",".",".",".",".",".",".",".","."
"","101
005","19","3.132","36.8","26.3","15.8","10.5",".",".","10.5",".",".",".",".",".",".",".",".","."
"","007
101","22","3.325","27.3","13.6","40.9","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","011
101","22","3.159","18.2","22.7","45.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
014","22","3.500","36.4","40.9","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
016","16","3.000","12.5","37.5","6.3","12.5","6.3",".","6.3","6.3",".",".",".",".",".",".","6.3","6.3"
"First Semester Italian","Course Total","169","3.213","27.2","24.9","22.5","9.5","3.0","1.8","3.0","6.5",".",".",".",".",".",".","1.2","0.6"
"","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","29","3.615","44.8","24.1","17.2","3.4",".",".",".","10.3",".",".",".",".",".",".",".","."
"","102
005","20","3.237","35.0","30.0","10.0","5.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","102
008","10","3.875","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".","."
"","102
009","20","3.350","35.0","30.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
010","13","3.000","30.8","7.7","38.5","7.7",".","15.4",".",".",".",".",".",".",".",".",".","."
"","011
102","21","2.810","14.3","19.0","33.3","9.5","9.5","14.3",".",".",".",".",".",".",".",".",".","."
"","102
012","17","3.235","29.4","23.5","41.2",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","014
102","22","3.318","18.2","27.3","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
102","12","3.000","8.3","25.0","25.0","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","165","3.269","30.9","23.6","26.7","6.1","4.2","3.0","1.2","3.0",".",".",".",".",".","1.2",".","."
"","201
001","25","3.729","64.0","20.0","8.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"","002
201","18","3.667","72.2","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","43","3.702","67.4","20.9","4.7",".","2.3",".","2.3","2.3",".",".",".",".",".",".",".","."
"","203
001","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","15","3.400","46.7","6.7","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
006","18","2.567","11.1","11.1","16.7","16.7","11.1","16.7",".","11.1",".",".",".",".",".",".","5.6","."
"","008
203","6","3.400","33.3","33.3",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","65","3.254","30.8","24.6","20.0","7.7","6.2","4.6",".","4.6",".",".",".",".",".",".","1.5","."
"","204
001","18","3.531","27.8","44.4","11.1","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"","204
003","16","3.500","25.0","43.8","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","6.3"
"","204
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","35","3.516","25.7","45.7","11.4","5.7",".",".",".","8.6",".",".",".",".",".",".",".","2.9"
"Modern Italian Culture","230
001","8","3.714","37.5","50.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Directed Study","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","13","3.471","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","10","3.882","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Il Settecento","621
001","16","3.900","87.5",".",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Lineamenti Di Lett Italiana","632
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 227 of 374",""
