"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","21","3.725","52.4","33.3","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","116
002","","24","3.604","41.7","37.5","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
003","","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","Course Total","","67","3.682","49.3","35.8","13.4",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127
001","","43","2.976","7.0","16.3","48.8","16.3","9.3",".",".",".",".",".",".",".",".",".",".","2.3"
"","197
001","","25","3.625","32.0","56.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"","197
002","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","37","3.625","35.1","51.4","10.8",".",".",".",".",".",".",".",".",".",".",".",".","2.7"
"","300
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","41","3.936","85.4","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","44","3.216","31.8","20.5","27.3","9.1","6.8","4.5",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315
001","","35","3.371","22.9","42.9","20.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","42","3.452","42.9","21.4","19.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","64","3.547","37.5","37.5","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","59","3.881","78.0","20.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","350
001","","40","3.128","20.0","35.0","17.5","10.0","10.0","5.0",".","2.5",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","360
001","","31","3.419","29.0","38.7","19.4","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","33","3.576","36.4","45.5","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364
001","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.500","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","001
523","","33","3.606","33.3","54.5","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615
001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Metab Respns-Exercis&Stress","774
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar-Occupation & Health","885
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
