"","990
042","4","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
060","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
061","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
067","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","27","3.879","59.3","3.7","3.7","3.7",".",".",".","14.8","3.7",".","",".","11.1","",".",".",".","."
"AN SCI
604","Dept. Total","380","3.145","31.6","18.2","17.9","10.3","12.1","2.4","1.1","5.3","0.3",".","",".","0.8","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","2.478","11.3","9.7","22.6","14.5","25.8","12.9","3.2",".",".",".","",".",".","",".",".",".","."
"Sophomore","","73","3.126","28.8","27.4","19.2","9.6","11.0","1.4","2.7",".",".",".","",".",".","",".",".",".","."
"Junior","","78","3.167","32.1","20.5","16.7","15.4","15.4",".",".",".",".",".","",".",".","",".",".",".","."
"Senior","","95","3.300","35.8","20.0","23.2","10.5","9.5",".",".","1.1",".",".","",".",".","",".",".",".","."
"Undergraduates","","308","3.061","28.2","19.8","20.5","12.3","14.6","2.9","1.3","0.3",".",".","",".",".","",".",".",".","."
"Special","","8","3.618","50.0","12.5","25.0",".",".",".",".",".",".",".","",".",".","",".",".","12.5","."
"Graduate","","68","3.828","42.6","10.3","4.4","1.5","1.5",".",".","33.8","1.5",".","",".","4.4","",".",".",".","."
"","Dept. Total","384","3.145","31.3","18.0","17.7","10.2","12.0","2.3","1.0","6.3","0.3",".","",".","0.8","",".",".","0.3","."
