"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"994
Research in Ethics","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995
Rsch-Soc & Political Philos","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research in Metaphysics","Course Total","","2","***","","","","","","","","","","","","","","","",""
"997
Research-Aesthetics","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-History of Philos","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","24","4.000","54.2",".",".",".",".",".",".","41.7",".",".",".","4.2",".",".",".","."
