"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"800","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","2","***","","","","","","","","","","","","","","","",""
"801","004","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","009","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","013","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","050","","8","3.833","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","072","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","105","3.964","93.3","5.7","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Consultatn&Suprvsn-Soc Work","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Case Management","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Recent Developmnts-Soc Work","001","","26","3.896","73.1","19.2",".",".",".",".",".","3.8",".",".",".",".","3.8",".",".","."
"863
Soc Work","001","","14","3.643","64.3","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"864
Recent Developmnts-Soc Work","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Recent Developmnts-Soc Work","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"867
Recent Developmnts-Soc Work","001","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Mental Illness-Comm Treatmt","001","","25","3.875","72.0","24.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"924
Family Problems & Soc Work","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"934
Problems-Mental Retardation","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Ethicl Behav-Soc Work Pract","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
PhD Proseminar","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
PhD Prosmr:Rsch-Disadv Pops","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953
PhD Proseminar","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","13","4.000","23.1",".",".",".",".",".",".","61.5",".",".",".","15.4",".",".",".","."
"991
Soc Work Applicatns of Rsch","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
