"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Prophets of the Bible","231
001","101","3.048","31.7","15.8","21.8","7.9","8.9","5.9","4.0","4.0",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","236
001","73","3.563","37.0","42.5","13.7","5.5",".",".",".",".",".",".",".",".",".",".","1.4","."
"Intro-Philos of Religion","261
001","23","3.432","30.4","21.7","43.5",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Introduction to Taoism","350
001","45","2.861","20.0","26.7","11.1","15.6","6.7","13.3","2.2","4.4",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364
001","28","3.115","17.9","32.1","10.7","17.9","14.3",".",".","3.6",".",".",".",".",".","3.6",".","."
"Civilization-Ancient Egypt","375
001","8","3.188","37.5","37.5",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Religions of Modern India","422
001","9","3.571","33.3","22.2","22.2",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Buddhist Iconography","001
423","14","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Goddesses & Feminine Powers","464
001","13","3.250","30.8","15.4","30.8",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"Ancient Relig&Early Church","517
001","17","3.176","47.1","5.9","11.8","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Social Structure of India","634
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"RELIG ST
856","Dept. Total","338","3.222","30.5","26.3","19.2","8.3","6.2","4.1","1.5","3.0",".",".",".",".","0.3","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","49","2.898","18.4","26.5","20.4","14.3","8.2","10.2","2.0",".",".",".",".",".",".",".",".","."
"Sophomore","","100","3.287","35.0","32.0","17.0","5.0","3.0","3.0","4.0",".",".",".",".",".",".",".","1.0","."
"Junior","","77","3.267","31.2","27.3","15.6","13.0","7.8","2.6",".","2.6",".",".",".",".",".",".",".","."
"Senior","","104","3.244","28.8","20.2","25.0","5.8","6.7","3.8",".","7.7",".",".",".",".","1.0","1.0",".","."
"Undergraduates","","330","3.212","29.7","26.4","19.7","8.5","6.1","4.2","1.5","3.0",".",".",".",".","0.3","0.3","0.3","."
"Special","","5","3.417","40.0","40.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","338","3.222","30.5","26.3","19.2","8.3","6.2","4.1","1.5","3.0",".",".",".",".","0.3","0.3","0.3","."
