"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","11840","3.714","56.9","16.4","8.4","2.3","1.6","0.4","0.4","7.9","0.1","3.7","0.0","0.8","0.4","0.3","0.1","0.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","681","3.380","47.1","20.4","14.1","5.3","5.1","1.5","1.3","3.1",".",".",".",".","0.3","0.3","0.3","1.2"
"Sophomore","","1541","3.565","51.6","22.3","12.3","3.4","3.4","0.8","0.3","4.5","0.1",".",".",".","0.3","0.5","0.1","0.3"
"Junior","","2039","3.616","52.9","19.1","11.3","3.8","1.6","0.4","0.8","6.7","0.1","2.1",".",".","0.1","0.4","0.1","0.6"
"Senior","","4606","3.729","54.9","16.4","8.3","2.0","1.2","0.3","0.3","8.5","0.1","7.5","0.0",".","0.1","0.4","0.0","0.0"
"Undergraduates","","8867","3.653","53.3","18.4","10.1","2.9","2.0","0.5","0.5","7.0","0.1","4.4","0.0",".","0.2","0.4","0.1","0.3"
"Special","","615","3.772","60.5","13.3","5.0","2.3","0.8",".","0.8","8.5","0.2","5.5",".",".","1.5",".","1.1","0.5"
"Graduate","","2327","3.907","70.6","9.4","2.6","0.3","0.1",".",".","11.0","0.0","0.6",".","3.8","1.2","0.3",".","0.2"
"Prof Yr 1","","17","3.625","23.5","35.3","11.8",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Prof Yr 2","","11","2.500","9.1","27.3","9.1",".",".",".","9.1","45.5",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Professionals","","31","3.313","19.4","29.0","9.7",".",".",".","3.2","38.7",".",".",".",".",".",".",".","."
"","College Total","11840","3.714","56.9","16.4","8.4","2.3","1.6","0.4","0.4","7.9","0.1","3.7","0.0","0.8","0.4","0.3","0.1","0.3"
