"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","38","3.959","97.4",".",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"714
Organometal-Transitn Elemts","001","","7","3.650","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Advanced Organic Chemistry","001","","22","3.400","31.8","22.7","22.7","13.6",".",".",".",".",".",".",".",".",".",".","9.1","."
"842
Advanced Organic Chemistry","001","","10","3.714","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","40.0","."
"843
Advanced Organic Chemistry","001","","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"864
Statistical Mechanics","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Topic-Macromoleculr/Biophys","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Intro Quantum Chemistry","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Struct&Bond-Inorg Compounds","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Kinetics & Ionization Proc","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"923
Spctroscpy&Spectrochem Anal","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941
Synthetic Organic Chemistry","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"942
Smr-Physical Organic Chem","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"964
Seminar: Molecular Dynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","048","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","12","4.000","8.3",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","."
"Research-Organic","Course Total","","74","4.000","43.2",".",".",".",".",".",".","51.4",".",".",".","5.4",".",".",".","."
"992","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 171 of 374",""
