"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"613","003","","7","3.700","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"613","004","","8","3.880","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","006","","6","3.950","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"613","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"613","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preceptrshp-Nurse Practitnr","Course Total","","56","3.927","89.3","8.9",".","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"698","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"698","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","11","3.952","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","21","3.938","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","18","3.559","38.9","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"715","001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"715","002","","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"715","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"715","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt Hlth Probs-Ambul Settng","Course Total","","34","3.661","55.9","23.5","14.7","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"719","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","034","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 354 of 374",""
