"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Trial Advocacy","Course Total","","94","3.979","30.9","1.1",".",".",".",".",".","68.1",".",".",".",".",".",".",".","."
"","854
001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","003
854","","13","3.671","76.9",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","854
004","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","","9","3.773","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","","96","3.718","19.8","5.2","2.1",".","1.0",".",".","70.8",".",".",".",".","1.0",".",".","."
"Collctv Bargang-Arbtrn Proc","858
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Litigation in Criminl Cases","001
863","","19","3.625","52.6","26.3","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"LAIP Seminar","866
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"International Tax","870
001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","50","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Juvenile Justice Adm","902
001","","8","3.250","37.5","25.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","904
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","","12","3.375","50.0","16.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Securities Regulation","914
001","","33","3.705","42.4","9.1","15.2",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","","15","3.625","26.7","13.3","13.3",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"","940
001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
002","","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
940","","26","3.680","46.2","38.5","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","940
005","","18","3.611","61.1","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","940
006","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","","26","3.808","65.4","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
008","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
014","","16","3.000","12.5","37.5","31.3",".","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","015
940","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
016","","13","3.893","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
024","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
026","","14","3.462","28.6","50.0",".","7.1","7.1",".",".",".",".",".",".",".","7.1",".",".","."
