"ENVIR ST - GAYLORD NELSON I","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","",""
"Environmental Sys Concepts","461","001","","18","3.147","16.7","27.8","38.9",".","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"Envr Study/UNESCO-Biosphere","463","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","","6","3.167","33.3","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","","35","3.231","11.4","34.3","42.9","5.7","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","600","001","","20","3.782","75.0","15.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computerzd Land Info Systms","655","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","14","3.423","28.6","28.6","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","216","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr","718","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Air Pollution","761","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envr Monitorng Practicum II","766","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmntl Info & Ed Progs","860","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","900","002","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","900","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","","Course Total","","17","3.811","70.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Envr Monitoring Seminar","950","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consrv Biol&Sustain Dev Smr","975","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","6","4.000","33.3",".",".",".",".",".",".","50.0",".",".",".","16.7",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","049","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 148 of 374",""
