"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","101
001","47","3.574","40.4","40.4","14.9","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","002
101","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Contemp Iss-Engr Profession","Course Total","58","3.649","50.0","32.8","12.1","1.7","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Technical Info Resources","151
001","25","3.833","72.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","4.0","."
"","155
001","20","2.800","10.0",".","55.0","10.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","002
155","18","2.972","22.2","16.7","38.9","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","155
003","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","17","3.324","17.6","35.3","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","18","3.500","27.8","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","17","3.265","17.6","35.3","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","19","3.474","52.6","10.5","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","008
155","18","2.861","22.2","16.7","22.2","11.1","22.2",".","5.6",".",".",".",".",".",".",".",".","."
"","155
009","20","3.000","20.0","10.0","35.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","19","3.263","36.8","26.3","21.1","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","155
012","20","3.075","5.0","30.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","013
155","18","3.139","22.2","16.7","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","242","3.211","25.2","24.4","30.6","12.8","5.4","0.4","1.2",".",".",".",".",".",".",".",".","."
"","275
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","55","3.818","69.1","25.5","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Chinese Conversatn II","306
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","308
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","308
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese Lang&Cult-Prof II","Course Total","2","***","","","","","","","","","","","","","","","",""
"","332
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
332","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","8","3.714","37.5","50.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","375
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"User Manuals/Software Docmt","392
001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Technical Communication","397
001","150","3.523","36.0","40.7","18.7","2.7","1.3","0.7",".",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Independent Study","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","413
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Technical Editing","497
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Senior Independent Study","499
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech&Professnl Communicatn","597
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
001","19","3.689","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","21","3.786","71.4","23.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","690
003","9","4.000","55.6",".",".",".",".",".",".","33.3",".",".",".",".",".",".","11.1","."
"","690
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 122 of 374",""
