"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"A Theme-Medieval Eng Lit","362","001","","27","3.520","40.7","29.6","11.1","7.4","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"Research Methods in English","382","001","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","418","001","","39","3.156","23.1","17.9","25.6","20.5","7.7",".",".","2.6",".",".",".",".","2.6",".",".","."
"","418","002","","41","2.622","17.1","9.8","19.5","17.1","22.0","14.6",".",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","80","2.877","20.0","13.8","22.5","18.8","15.0","7.5",".","1.3",".",".",".",".","1.3",".",".","."
"Milton","435","001","","35","2.818","20.0","14.3","31.4","8.6","5.7","8.6","5.7",".",".",".",".",".","2.9",".",".","2.9"
"English Lit, 1660-1745","444","001","","37","3.162","13.5","18.9","54.1","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","44","3.409","25.0","34.1","38.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","","21","3.452","23.8","47.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","","26","3.346","42.3","19.2","26.9","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","22","3.429","36.4","22.7","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"Modern British & Amer Drama","506","008","","45","3.449","26.7","42.2","26.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Select Major Modern Poets I","509","009","","30","3.233","23.3","23.3","40.0","3.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"Recent British/Amer Fiction","511","008","","40","3.612","40.0","37.5","15.0","2.5",".",".",".","2.5",".",".",".",".",".","2.5",".","."
"Recent British/Amer Poetry","512","001","","16","3.313","37.5","25.0","25.0",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","002","","34","3.606","44.1","29.4","23.5",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Studies in Dramatic Lit","561","001","","89","3.174","21.3","24.7","30.3","11.2","7.9",".","1.1",".",".",".",".",".",".","2.2",".","1.1"
"Topic-Women Writng&Fem Thry","574","001","","34","3.044","26.5","17.6","29.4","8.8","11.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","59","3.384","18.6","39.0","40.7",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","","35","3.570","48.6","20.0","17.1","8.6",".",".",".","2.9",".",".",".",".",".","2.9",".","."
"The American Short Story","610","001","","41","3.598","48.8","29.3","17.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Voices of American Humor","612","001","","38","3.417","21.1","36.8","36.8",".",".",".",".","2.6",".",".",".",".",".","2.6",".","."
"Major American Poets","613","001","","34","3.106","14.7","20.6","44.1","5.9","11.8",".",".",".",".",".",".",".",".","2.9",".","."
"Sr Honors Thesis in Major","681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","002","","14","3.571","78.6",".","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","695","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","004","","15","3.467","73.3","13.3",".",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Directed Creative Writing","","Course Total","","60","3.742","83.3","8.3","3.3",".",".","1.7","3.3",".",".",".",".",".",".",".",".","."
"","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
