"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","148","3.392","44.6","11.5","33.1","3.4","6.1","0.7","0.7",".",".",".",".",".",".",".",".","."
"","304
001","22","3.523","45.5","22.7","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
304","21","3.333","33.3","19.0","42.9",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","304
003","25","3.480","40.0","24.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","23","3.500","34.8","34.8","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","25","3.500","36.0","28.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","23","3.522","26.1","52.2","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","139","3.478","36.0","30.2","30.2","2.2","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"Biological Interactions","333
001","84","3.661","66.7","3.6","27.4",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","371","3.486","46.4","16.7","30.7","2.2","3.2","0.5","0.3",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","60","3.398","40.0","20.0","30.0","3.3","5.0","1.7",".",".",".",".",".",".",".",".",".","."
"Junior","","234","3.443","41.0","19.2","33.8","2.6","2.6","0.4","0.4",".",".",".",".",".",".",".",".","."
"Senior","","77","3.665","67.5","6.5","22.1",".","3.9",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","371","3.486","46.4","16.7","30.7","2.2","3.2","0.5","0.3",".",".",".",".",".",".",".",".","."
"","Dept. Total","371","3.486","46.4","16.7","30.7","2.2","3.2","0.5","0.3",".",".",".",".",".",".",".",".","."
