"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","19","3.417","57.9","5.3","10.5",".","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"","101
002","","21","3.750","57.1","14.3","14.3",".",".",".",".","4.8",".",".",".",".","4.8","4.8",".","."
"","101
003","","25","3.630","60.0","8.0","16.0","4.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"","101
004","","20","3.025","45.0",".","25.0","5.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","85","3.456","55.3","7.1","16.5","2.4","9.4","1.2","1.2","4.7",".",".",".",".","1.2","1.2",".","."
"","102
001","","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","102
002","","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","16","3.500","37.5","37.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","20","3.475","45.0","15.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","005
102","","21","3.214","33.3","14.3","28.6","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","","11","3.444","63.6",".","9.1",".",".",".","9.1","18.2",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","97","3.495","48.5","17.5","22.7","2.1","5.2",".","1.0","2.1",".",".",".",".",".",".","1.0","."
"Second Semester Dutch","112
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive German II","172
001","","9","3.423","55.6",".","11.1","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"","203
001","","18","3.250","33.3","27.8","27.8",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","203
002","","22","3.386","59.1",".","18.2","4.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"","203
003","","20","3.750","85.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","203
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester German","Course Total","","62","3.476","59.7","12.9","14.5","1.6","8.1",".","3.2",".",".",".",".",".",".",".",".","."
"","204
001","","15","3.431","53.3","13.3","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
204","","14","3.231","14.3","21.4","50.0","7.1",".",".",".",".",".",".",".",".",".","7.1",".","."
"","204
003","","19","3.711","68.4","5.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","","19","3.313","26.3","21.1","26.3",".","10.5",".",".","10.5",".",".",".",".",".",".",".","5.3"
"","204
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","69","3.453","42.0","15.9","26.1","5.8","4.3",".",".","2.9",".",".",".",".",".","1.4",".","1.4"
"Fourth Semester Dutch","214
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-German Literature","221
001","","22","3.500","31.8","31.8","31.8",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Intro to German Literature","222
001","","15","3.356","40.0","26.7","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","225
001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","","15","3.367","20.0","33.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
225","","12","3.909","83.3",".","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","005
225","","17","3.300","35.3","29.4","17.6","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","","62","3.593","53.2","21.0","19.4","1.6",".",".","1.6","3.2",".",".",".",".",".",".",".","."
"","226
001","","24","3.526","45.8","20.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","226
002","","17","3.395","23.5","35.3","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","226
003","","13","3.682","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","","10","3.583","40.0","40.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","","64","3.528","40.6","28.1","23.4","4.7",".",".",".","1.6",".",".",".",".",".",".",".","1.6"
"Bascom Course","001
236","","16","3.531","56.3","18.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Moderne Literatur","305
001","","21","3.542","38.1","28.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
