"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","97","3.098","14.4","30.9","28.9","17.5","6.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"120","002","","142","3.015","14.1","31.0","25.4","12.7","7.7","2.8","2.8","2.1",".",".",".",".",".","1.4",".","."
"120","003","","115","3.239","18.3","32.2","25.2","14.8","4.3",".",".","3.5",".",".",".",".",".","1.7",".","."
"Science of Food","Course Total","","354","3.109","15.5","31.4","26.3","14.7","6.2","1.4","1.4","2.0",".",".",".",".",".","1.1",".","."
"235
Nature of Food","001","","57","3.164","35.1","12.3","24.6","5.3","15.8","3.5",".","1.8",".",".",".",".",".",".","1.8","."
"236","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","003","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","27","3.778","63.0","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Regulatory & Qual Standards","001","","57","3.339","26.3","35.1","24.6","3.5","8.8",".",".",".",".",".",".",".",".",".","1.8","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"410
Food Chemistry I","001","","24","2.955","12.5","20.8","25.0","12.5","20.8",".",".","4.2",".",".",".",".",".",".",".","4.2"
"415
Markt Milk,Butter&Spec Prod","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","12","2.833","8.3","41.7","8.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","12","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","20","2.875","15.0","5.0","55.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","47","3.202","8.5","38.3","40.4","10.6","2.1",".",".",".",".",".",".",".",".",".",".","."
"539
Org & Mgmt of Food Services","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"542
Food Engineering Operations","001","","15","2.700","33.3","6.7","13.3","13.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".","."
"550
Food Fermentations","001","","10","3.350","60.0","10.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"565
Food Process Engineering","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Career Orientation","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","3.913","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Food Flavors","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
