"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","233","3.021","14.6","7.7","55.4","12.9","9.0","0.4",".",".",".",".",".",".",".",".",".","."
"","002
300","225","2.931","11.6","8.4","52.0","16.9","8.4","2.2","0.4",".",".",".",".",".",".",".",".","."
"","003
300","107","3.358","29.9","21.5","40.2","4.7","2.8",".",".","0.9",".",".",".",".",".",".",".","."
"","300
004","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","577","3.066","17.5","10.7","50.3","12.7","7.5","1.0","0.2","0.2",".",".",".",".",".",".",".","."
"","305
001","77","2.870","15.6","9.1","37.7","22.1","10.4","3.9","1.3",".",".",".",".",".",".",".",".","."
"","305
002","87","3.121","21.8","19.5","34.5","16.1","5.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"","305
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","166","3.015","19.9","14.5","35.5","18.7","7.8","2.4","1.2",".",".",".",".",".",".",".",".","."
"","399
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","26","3.741","84.6",".","3.8",".","11.5",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","33","3.699","75.8","6.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","001
401","35","3.652","42.9","37.1","14.3",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"","420
001","44","3.356","20.5","36.4","38.6","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","002
420","30","3.154","16.7","30.0","36.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","74","3.274","18.9","33.8","37.8","4.1","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"Mgt:Decisn,Implmntatn&Cntrl","421
001","31","3.290","25.8","16.1","48.4","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","39","3.622","46.2","30.8","12.8","5.1",".",".",".","5.1",".",".",".",".",".",".",".","."
"","423
001","31","3.313","19.4","32.3","38.7","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","12","3.542","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Administrative Policy","Course Total","43","3.375","27.9","30.2","32.6","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","39","2.782","7.7","12.8","33.3","25.6","17.9","2.6",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","29","3.483","41.4","24.1","27.6","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","19","3.831","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","19","3.694","47.4","36.8","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","700
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","23","3.477","43.5","30.4","17.4",".",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"","001
701","37","3.703","62.2","16.2","21.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","26","3.596","50.0","19.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
003","29","3.707","41.4","58.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","92","3.674","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","39","3.645","61.5","5.1","28.2","2.6",".",".",".",".",".",".",".",".",".",".","2.6","."
"","702
002","26","3.654","65.4","11.5","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","702
003","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Organizations","Course Total","94","3.731","69.1","10.6","16.0","2.1","1.1",".",".",".",".",".",".",".",".",".","1.1","."
"Human Resource Management","705
001","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sm Bus Mgmt/Entrepreneurshp","722
001","38","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","37","3.542","32.4","40.5","24.3",".",".",".",".",".",".",".",".",".",".","2.7",".","."
