"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1207","3.519","47.7","27.8","15.4","3.6","2.7","0.8","0.3","1.2","",".",".","",".","0.1","",".","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","99","2.978","21.2","22.2","30.3","7.1","11.1","6.1","2.0",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","213","3.316","30.0","27.2","29.1","6.1","5.6","0.5","0.9",".","",".",".","",".",".","",".",".",".","0.5"
"Junior","","168","3.499","39.3","33.3","20.2","4.8","2.4",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","244","3.538","44.3","33.2","13.5","4.5","2.0","1.2",".","1.2","",".",".","",".",".","",".",".",".","."
"Undergraduates","","724","3.387","35.8","30.0","22.0","5.4","4.4","1.4","0.6","0.4","",".",".","",".",".","",".",".",".","0.1"
"Special","","34","3.725","61.8","14.7","5.9","2.9","2.9",".",".","5.9","",".",".","",".",".","",".","2.9","2.9","."
"Graduate","","450","3.778","65.8","25.1","5.6","0.7",".",".",".","2.4","",".",".","",".","0.2","",".","0.2",".","."
"","Dept. Total","1208","3.519","47.7","27.7","15.4","3.6","2.7","0.8","0.3","1.3","",".",".","",".","0.1","",".","0.2","0.1","0.1"
