"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.975","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360
Principles-Animal Breeding","001","","20","2.850","25.0","15.0","5.0","15.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","18","2.806","11.1","27.8","22.2",".","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","36","2.944","22.2","11.1","25.0","27.8","11.1",".","2.8",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","12","2.583",".","16.7","25.0","16.7","41.7",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","17","3.706","70.6",".","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","002","","7","3.667","57.1",".","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"875","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.682","58.3","8.3","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"900","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","46","4.000","26.1",".",".",".",".",".",".","73.9",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Research","Course Total","","20","3.875","25.0",".","5.0",".",".",".",".","40.0","5.0",".",".","25.0",".",".",".","."
