"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"PE ACTIV
Dept. Total
740","2229","3.352","31.7","18.8","11.9","3.1","3.7","0.9","0.8","27.2","0.4",".","",".","",".","0.1","0.9","0.2","0.3"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","277","3.117","40.4","20.2","12.6","4.0","9.7","3.6","1.8","6.5",".",".","",".","",".","0.4","0.4",".","0.4"
"Sophomore","497","3.374","36.2","25.8","13.5","3.8","4.8","1.0","0.2","12.9","0.4",".","",".","",".","0.2","0.8",".","0.4"
"Junior","441","3.427","33.3","19.3","13.4","3.6","2.5","0.5","0.7","24.9","0.5",".","",".","",".",".","1.1",".","0.2"
"Senior","750","3.400","28.7","16.3","11.2","2.8","2.5","0.5","0.7","36.0","0.4",".","",".","",".",".","0.8","0.1","."
"Undergraduates","1965","3.345","33.3","19.9","12.5","3.4","4.1","1.1","0.7","23.5","0.4",".","",".","",".","0.1","0.8","0.1","0.2"
"Special","96","3.395","20.8","11.5","7.3","1.0","2.1",".","2.1","47.9","1.0",".","",".","",".",".",".","4.2","2.1"
"Graduate","143","3.640","18.9","7.0","7.0","0.7",".",".",".","63.6",".",".","",".","",".",".","2.8",".","."
"Prof Yr 1","13","3.550","23.1","38.5","15.4",".",".",".",".","23.1",".",".","",".","",".",".",".",".","."
"Prof Yr 2","9","2.500","11.1","33.3","11.1",".",".",".","11.1","33.3",".",".","",".","",".",".",".",".","."
"Prof Yr 3","3","4.000","33.3",".",".",".",".",".",".","66.7",".",".","",".","",".",".",".",".","."
"Professionals","25","3.167","20.0","32.0","12.0",".",".",".","4.0","32.0",".",".","",".","",".",".",".",".","."
"Dept. Total","2229","3.352","31.7","18.8","11.9","3.1","3.7","0.9","0.8","27.2","0.4",".","",".","",".","0.1","0.9","0.2","0.3"
