"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","53","3.000","20.8","9.4","49.1","5.7","7.5","7.5",".",".",".",".",".",".",".",".",".","."
"","275
002","41","3.183","22.0","34.1","22.0","12.2","4.9","4.9",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","94","3.080","21.3","20.2","37.2","8.5","6.4","6.4",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","35","3.294","20.0","31.4","34.3","8.6","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","14","3.179","14.3","28.6","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473
001","11","2.950","18.2","18.2","9.1","27.3","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Family Economics","475
001","39","3.115","20.5","28.2","33.3",".","15.4",".","2.6",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","30","3.400","16.7","56.7","16.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
002","22","3.705","50.0","45.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","001
503","12","3.167","8.3","25.0","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsr Spend&Saving/Lifecycle","527
001","23","3.543","43.5","21.7","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
001","24","3.313","29.2","20.8","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561
001","46","3.311","17.4","37.0","34.8","6.5","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"International Retailing","562
001","32","3.641","46.9","40.6","9.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","17","3.676","58.8","17.6","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","22","3.091","18.2","22.7","40.9","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","13","3.846","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Consumer Behavior","657
001","37","3.703","59.5","24.3","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","27","3.407","40.7","18.5","25.9","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","8","4.000","25.0",".",".",".",".",".",".","50.0",".",".",".","25.0",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"CNSR SCI
271","Dept. Total","536","3.355","32.6","26.1","26.1","5.8","4.1","1.3","0.2","1.3",".","2.1",".","0.4",".",".",".","."
