"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","3375","3.110","23.1","24.0","26.1","12.0","7.5","2.4","1.6","1.4","0.1","0.1","",".","0.9","0.2","0.4","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","356","2.713","9.6","21.6","26.1","18.5","12.6","5.9","4.5","0.3",".",".","",".",".",".","0.8",".","."
"Sophomore","","824","3.008","17.7","23.9","30.0","12.9","10.0","3.5","1.6","0.1",".",".","",".",".","0.1",".",".","0.2"
"Junior","","874","3.151","22.4","27.7","27.6","10.6","7.2","1.9","1.5","0.1",".","0.1","",".",".","0.1","0.5","0.2","."
"Senior","","1074","3.203","26.2","24.1","26.4","12.8","5.6","1.4","1.0","1.3",".","0.1","",".","0.2","0.1","0.6","0.2","0.1"
"Undergraduates","","3128","3.080","21.0","24.8","27.7","12.9","8.0","2.6","1.7","0.5",".","0.1","",".","0.1","0.1","0.4","0.1","0.1"
"Special","","22","3.449","36.4","9.1","31.8","4.5","4.5",".",".","9.1",".",".","",".",".",".",".","4.5","."
"Graduate","","222","3.824","51.8","15.3","3.2","0.5","0.5",".",".","13.1","1.4",".","",".","12.6","1.4",".","0.5","."
"Prof Yr 1","","2","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3375","3.110","23.1","24.0","26.1","12.0","7.5","2.4","1.6","1.4","0.1","0.1","",".","0.9","0.2","0.4","0.2","0.1"
