"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"301
Terr Vertbrt:Life Hist&Ecol","001","","57","2.860","8.8","19.3","31.6","22.8","14.0","3.5",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","26","2.654","7.7","7.7","38.5","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","36","3.500","41.7","27.8","22.2","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","45","2.967","15.6","20.0","33.3","13.3","13.3","4.4",".",".",".",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","8","3.125","25.0","12.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","46","3.022","32.6",".","43.5",".","17.4","6.5",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"961
Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","4.000","33.3",".",".",".",".",".",".",".",".",".",".","66.7",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","33","4.000","69.7",".",".",".",".",".",".","15.2",".",".",".","15.2",".",".",".","."
