"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","4110","3.269","27.4","26.4","24.8","8.5","4.1","1.0","1.4","4.4","0.0","0.1","",".","0.7","0.4","0.3","0.3","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","448","3.037","15.2","25.7","33.7","14.7","6.0","2.5","2.0",".",".",".","",".",".",".",".","0.2","."
"Sophomore","","801","3.268","24.8","30.6","30.3","7.1","3.7","0.6","1.7","0.2",".",".","",".",".",".","0.1","0.2","0.4"
"Junior","","1053","3.231","23.3","30.7","26.5","10.3","5.7","0.6","1.3","0.9",".",".","",".",".",".","0.5","0.2","0.1"
"Senior","","1408","3.297","31.1","25.6","23.9","8.3","3.6","1.3","1.3","2.8","0.1","0.1","",".","0.1","0.7","0.6","0.4","0.1"
"Undergraduates","","3710","3.237","25.6","28.1","27.2","9.4","4.5","1.1","1.5","1.4","0.0","0.1","",".","0.1","0.3","0.4","0.3","0.2"
"Special","","36","3.514","25.0","25.0","8.3","2.8","2.8",".",".","27.8",".","2.8","",".",".","2.8",".","2.8","."
"Graduate","","363","3.885","46.0","8.8","1.7","0.3",".",".",".","32.5",".",".","",".","7.7","1.9",".",".","1.1"
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4110","3.269","27.4","26.4","24.8","8.5","4.1","1.0","1.4","4.4","0.0","0.1","",".","0.7","0.4","0.3","0.3","0.2"
