"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"","775
021","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
022","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","15","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"SURG SCI
938","Dept. Total","965","3.424","29.4","16.6","14.2","3.6","1.8","0.2","",".","28.8",".","5.4",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","161","3.992","54.7",".","0.6",".",".",".","",".","44.7",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","171","3.645","43.3","37.4","16.4","0.6","0.6",".","",".","1.2",".","0.6",".","",".","",".",".",".","."
"Prof Yr 3","","463","3.100","6.9","20.7","23.3","7.3","3.5","0.4","",".","26.8",".","11.0",".","",".","",".",".",".","."
"Prof Yr 4","","170","4.000","52.9",".",".",".",".",".","",".","47.1",".",".",".","",".","",".",".",".","."
"Professionals","","965","3.424","29.4","16.6","14.2","3.6","1.8","0.2","",".","28.8",".","5.4",".","",".","",".",".",".","."
"","Dept. Total","965","3.424","29.4","16.6","14.2","3.6","1.8","0.2","",".","28.8",".","5.4",".","",".","",".",".",".","."
