"","999
038","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
039","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
042","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"GEOG
416","Dept. Total","1515","3.060","25.9","19.7","21.9","12.4","11.6","2.6","1.7","2.5","0.1","0.1","",".","0.6","0.3","0.3","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","239","2.861","20.1","13.0","24.3","18.0","18.4","4.6","1.7",".",".",".","",".",".",".",".",".","."
"Sophomore","","379","2.982","21.1","24.5","21.6","14.2","11.1","4.2","2.6",".",".",".","",".",".","0.3","0.3",".","."
"Junior","","331","3.037","23.0","19.6","26.6","11.5","13.6","2.1","1.5","1.2",".",".","",".",".","0.3","0.3",".","0.3"
"Senior","","367","3.057","25.1","18.8","24.8","13.4","11.7","1.6","1.6","1.6",".",".","",".",".",".","0.5","0.3","0.5"
"Undergraduates","","1316","2.989","22.5","19.6","24.2","14.0","13.2","3.0","1.9","0.8",".",".","",".",".","0.2","0.3","0.1","0.2"
"Special","","16","3.315","37.5","6.3","31.3","6.3","6.3",".",".","6.3",".","6.3","",".",".",".",".",".","."
"Graduate","","183","3.747","49.2","21.3","4.4","1.6","0.5",".",".","14.8","1.1",".","",".","4.9","1.6",".","0.5","."
"","Dept. Total","1515","3.060","25.9","19.7","21.9","12.4","11.6","2.6","1.7","2.5","0.1","0.1","",".","0.6","0.3","0.3","0.1","0.2"
