"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","314
002","29","3.603","37.9","44.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
003","22","3.523","36.4","40.9","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","83","3.470","25.3","49.4","19.3","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","340
001","83","2.352","6.0","8.4","19.3","19.3","30.1","9.6","4.8",".",".",".",".",".",".","1.2",".","1.2"
"Design of Machine Elements","342
001","81","2.685","7.4","6.2","40.7","19.8","19.8","6.2",".",".",".",".",".",".",".",".",".","."
"","349
001","20","2.975","15.0","15.0","50.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","349
002","20","2.950","15.0","5.0","55.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","349
003","20","3.025","20.0","25.0","25.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","349
004","19","3.421","47.4","10.5","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","79","3.089","24.1","13.9","39.2","6.3","13.9","2.5",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","20","3.750","45.0","45.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","361
001","12","2.750","8.3","25.0","16.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","361
002","21","2.643","28.6","9.5","4.8","23.8","19.0","4.8","9.5",".",".",".",".",".",".",".",".","."
"","003
361","23","2.587","4.3","21.7","8.7","34.8","21.7","8.7",".",".",".",".",".",".",".",".",".","."
"","004
361","24","3.396","33.3","41.7","4.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","80","2.869","20.0","25.0","7.5","23.8","16.3","5.0","2.5",".",".",".",".",".",".",".",".","."
"","363
001","34","2.868","14.7","11.8","32.4","20.6","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"","363
002","36","2.736","11.1","13.9","22.2","27.8","19.4","5.6",".",".",".",".",".",".",".",".",".","."
"","363
003","37","2.892","21.6","13.5","37.8","8.1","8.1","5.4","5.4",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","107","2.832","15.9","13.1","30.8","18.7","15.0","4.7","1.9",".",".",".",".",".",".",".",".","."
"","001
364","23","2.826","17.4",".","39.1","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","002
364","28","2.500","14.3","7.1","21.4","14.3","28.6","10.7","3.6",".",".",".",".",".",".",".",".","."
"","364
003","26","2.442","3.8","3.8","34.6","15.4","30.8","11.5",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","77","2.578","11.7","3.9","31.2","18.2","24.7","9.1","1.3",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","001
368","80","3.263","16.3","38.8","28.8","13.8","2.5",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","70","2.821","11.4","17.1","24.3","32.9","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","35","3.414","42.9","31.4","11.4","5.7","2.9","5.7",".",".",".",".",".",".",".",".",".","."
"","417
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","39","3.244","41.0","28.2","12.8","5.1","2.6","5.1","5.1",".",".",".",".",".",".",".",".","."
"","001
418","36","3.500","38.9","30.6","22.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","46","3.554","43.5","30.4","19.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reliability","426
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Weld Proc&Matrl Selectn","001
437","51","3.500","39.2","21.6","39.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","13","3.692","61.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","446
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","447
001","18","3.250","38.9","27.8","16.7",".","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","447
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 129 of 374",""
