"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","20","2.926","25.0","15.0","30.0","10.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","002
102","","19","2.868","26.3","15.8","21.1","10.5","10.5","15.8",".",".",".",".",".",".",".",".",".","."
"","102
003","","22","2.886","31.8","4.5","36.4","9.1","4.5","4.5","9.1",".",".",".",".",".",".",".",".","."
"","102
004","","24","3.292","41.7","12.5","20.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","","85","3.006","31.8","11.8","27.1","10.6","9.4","5.9","3.5",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","","12","2.875","25.0","8.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn&Compositn","226
001","","12","3.450","25.0","25.0","33.3",".",".",".",".","8.3",".",".",".",".",".","8.3",".","."
"Intensive Portuguese","301
001","","21","3.738","71.4","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn&Conversatn","001
312","","17","3.585","41.2","23.5","17.6","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468
001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","599
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Smr: Portuguese Literature","772
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
