"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","247","3.010","10.9","10.5","56.7","18.2","2.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"","300
002","273","2.993","5.9","15.0","57.9","17.2","2.6","0.4","0.7",".",".",".",".",".",".","0.4",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","Course Total","525","3.005","8.4","13.1","56.8","17.5","2.3","0.6","0.8","0.4",".",".",".",".",".","0.2",".","."
"","001
305","55","3.157","30.9","18.2","21.8","9.1","16.4","1.8",".","1.8",".",".",".",".",".",".",".","."
"","305
002","60","3.169","31.7","10.0","28.3","16.7","11.7",".",".","1.7",".",".",".",".",".",".",".","."
"","305
003","44","3.360","9.1","54.5","31.8","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","159","3.218","25.2","25.2","27.0","10.1","10.1","0.6",".","1.9",".",".",".",".",".",".",".","."
"","310
001","51","3.147","11.8","29.4","39.2","15.7","3.9",".",".",".",".",".",".",".",".",".",".","."
"","310
002","50","3.250","18.0","22.0","54.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","310
003","25","3.160","8.0","32.0","48.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","126","3.190","13.5","27.0","46.8","9.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
092","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","5","***","","","","","","","","","","","","","","","",""
"Marketing Communications","415
001","56","3.161","28.6","17.9","23.2","17.9","12.5",".",".",".",".",".",".",".",".",".",".","."
"","420
001","47","3.362","29.8","25.5","29.8","12.8",".",".",".","2.1",".",".",".",".",".",".",".","."
"","420
002","42","3.262","19.0","35.7","31.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","89","3.314","24.7","30.3","30.3","10.1","3.4",".",".","1.1",".",".",".",".",".",".",".","."
"Marketing Channels","425
002","39","3.397","23.1","38.5","33.3","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","430
002","39","3.205","12.8","33.3","38.5","12.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454
001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","47","3.468","19.1","55.3","25.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","48","3.396","31.3","31.3","27.1","6.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","003
460","35","3.443","34.3","25.7","37.1",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","130","3.435","27.7","38.5","29.2","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","37","3.568","32.4","51.4","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","33","3.530","30.3","45.5","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","29","3.845","69.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","62","3.677","48.4","38.7","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","21","3.405","23.8","42.9","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
002","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","8","3.313",".","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","720
001","18","3.361","16.7","50.0","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","730
001","13","3.500","46.2","30.8","7.7",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"","760
001","22","3.523","36.4","31.8","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","36","3.542","36.1","36.1","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
765","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 58 of 374"
