"TERM : 0994","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1998-99","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","322","3.438","37.0","17.4","18.3",".","0.3","",".","0.6","26.1","",".",".","",".","",".","",".",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","3.333","33.3",".","66.7",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3","3.333","33.3",".","66.7",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","50.0"
"Graduate","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","161","3.666","41.0","14.3","6.2",".",".","",".",".","38.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","6","3.583","33.3","50.0","16.7",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","87","3.290","25.3","24.1","46.0",".",".","",".","2.3","2.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","60","3.647","40.0","15.0","10.0",".","1.7","",".",".","33.3","",".",".","",".","",".","",".",".",".","."
"Professionals","","314","3.433","36.3","17.8","18.2",".","0.3","",".","0.6","26.8","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","322","3.438","37.0","17.4","18.3",".","0.3","",".","0.6","26.1","",".",".","",".","",".","",".",".",".","0.3"
