"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"499","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"507
Graduate Laboratory","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Advanced Classical Physics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"531
Intro to Quantum Mechanics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"546
Lasers","001","","6","3.625","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"551
Solid State Physics","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"601
Scientific Presentation","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Applied Optics","001","","15","3.589","60.0","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"715
Statistical Mechanics","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","22","3.525","31.8","36.4","18.2","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"722
Adv Classical Theor Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","27","3.630","59.3","7.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Particle Physics","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Many-Body Prob-Solid St Phy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"772
Physics of Space","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"805
Special Topics in Physics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Advanced Quantum Mechanics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Adv Math-Quantum Field Thry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Solid State Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
