"","991
060","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","991
062","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research Nutrition","Course Total","35","4.000","42.9",".",".",".",".",".",".","22.9","",".",".","",".","34.3","",".",".",".","."
"Independent Study-Nutrition","993
008","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"NUTR SCI
694","Dept. Total","767","2.931","24.1","13.2","18.0","8.7","20.1","3.1","1.3","8.0","",".","1.6","",".","1.6","",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","139","2.500","11.5","9.4","18.7","13.7","37.4","4.3","4.3",".","",".",".","",".",".","",".",".",".","0.7"
"Sophomore","","171","2.846","18.1","16.4","21.1","11.1","28.1","2.9","0.6","0.6","",".",".","",".",".","",".",".",".","1.2"
"Junior","","126","2.822","18.3","13.5","23.0","12.7","23.8","4.8","0.8","0.8","",".","2.4","",".",".","",".",".",".","."
"Senior","","196","3.217","35.7","16.8","18.9","6.1","10.7","3.6","1.0","2.6","",".","4.6","",".",".","",".",".",".","."
"Undergraduates","","632","2.872","22.2","14.4","20.3","10.4","23.9","3.8","1.6","1.1","",".","1.9","",".",".","",".",".",".","0.5"
"Special","","10","2.964","10.0","10.0","10.0",".","20.0",".",".","50.0","",".",".","",".",".","",".",".",".","."
"Graduate","","123","3.786","35.8","6.5","7.3","0.8",".",".",".","39.8","",".",".","",".","9.8","",".",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","2","2.750",".","50.0",".",".","50.0",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","767","2.931","24.1","13.2","18.0","8.7","20.1","3.1","1.3","8.0","",".","1.6","",".","1.6","",".",".",".","0.4"
