"","999
052","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
055","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
067","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","34","3.989","94.1","2.9",".",".",".",".","",".",".","",".",".","",".",".","2.9",".",".","."
"SOC WORK
896","Dept. Total","1418","3.657","59.4","18.3","13.8","4.8","1.1","0.1","",".","1.5","",".",".","",".","0.1","0.3","0.3",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.400","20.0","60.0",".","20.0",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","73","3.416","26.0","39.7","19.2","11.0",".",".","",".",".","",".",".","",".",".",".","1.4",".","2.7"
"Junior","","191","3.433","34.0","29.8","23.6","7.3","3.7",".","",".",".","",".",".","",".",".",".","1.0",".","0.5"
"Senior","","405","3.463","40.2","19.8","25.2","10.6","2.0","0.2","",".","1.7","",".",".","",".",".",".","0.2",".","."
"Undergraduates","","674","3.448","36.8","25.1","23.9","9.8","2.2","0.1","",".","1.0","",".",".","",".",".",".","0.6",".","0.4"
"Special","","17","3.650","47.1","5.9","11.8","5.9",".",".","",".","23.5","",".",".","",".",".","5.9",".",".","."
"Graduate","","725","3.893","81.0","12.3","4.4","0.1","0.1",".","",".","1.4","",".",".","",".","0.3","0.4",".",".","."
"Prof Yr 2","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1418","3.657","59.4","18.3","13.8","4.8","1.1","0.1","",".","1.5","",".",".","",".","0.1","0.3","0.3",".","0.2"
