"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"799
002","17","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"799
004","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Independent Reading","18","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"819
001
Quant Methods-Public Policy","17","3.794","64.7","29.4","5.9",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"827
001
Administrative Internship","7","",".",".",".",".",".","",".","",".","","100.0",".","",".",".","",".","",".","",".",".","."
"869
001
Intro to Policy Analysis","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"881
001
Benefit-Cost Analysis","14","3.643","50.0","28.6","21.4",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"885
001
Advanced Public Management","21","3.762","57.1","38.1","4.8",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"890
001
Fed Budget&Tax Policy&Admin","25","3.440","28.0","36.0","32.0","4.0","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"958
001
Smr-Rsch in Public Affairs","10","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"974
001","7","3.917","71.4","14.3",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","14.3"
"974
002","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Topics in Public Affairs","9","3.750","55.6","22.2","11.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","11.1"
"PUB AFFR
Dept. Total
826","126","3.730","57.9","23.0","11.1","1.6","",".","",".","",".","5.6","",".",".","",".","",".","",".",".",".","0.8"
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","2.500",".",".",".","100.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1","2.500",".",".",".","100.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","121","3.747","59.5","23.1","10.7","0.8","",".","",".","",".","5.0","",".",".","",".","",".","",".",".",".","0.8"
"Prof Yr 1","1","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","3","3.750","33.3","33.3",".",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Professionals","4","3.500","25.0","25.0","25.0",".","",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total","126","3.730","57.9","23.0","11.1","1.6","",".","",".","",".","5.6","",".",".","",".","",".","",".",".",".","0.8"
