"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2259","3.200","34.2","17.2","22.4","11.7","8.6","1.9","0.4","1.0","",".","1.9",".","0.6","0.0","0.0",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.778","75.0",".","25.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","248","3.314","31.5","26.6","20.2","10.1","2.0","0.8",".",".","",".","8.9",".",".",".",".",".","."
"Senior","","267","3.417","39.0","25.5","21.3","7.9","3.4","1.5",".",".","",".","1.5",".",".",".",".",".","."
"Undergraduates","","524","3.394","36.1","25.8","20.6","8.8","2.7","1.1",".",".","",".","5.0",".",".",".",".",".","."
"Special","","16","3.173","25.0","25.0","25.0","12.5","6.3",".","6.3",".","",".",".",".",".",".",".",".","."
"Graduate","","149","3.845","58.4","13.4","4.0","0.7",".",".",".","14.1","",".",".",".","8.7","0.7",".",".","."
"Prof Yr 1","","660","3.024","31.4","15.2","23.2","15.5","10.8","3.2","0.2",".","",".","0.8",".",".",".",".",".","."
"Prof Yr 2","","740","2.989","26.1","13.9","28.2","14.5","14.1","2.3","0.8",".","",".",".",".",".",".","0.1",".","."
"Prof Yr 3","","34","3.125","20.6","20.6","35.3","11.8","8.8",".",".",".","",".","2.9",".",".",".",".",".","."
"Prof Yr 4","","136","3.820","63.2","14.0","11.0","2.2","0.7",".",".","0.7","",".","8.1",".",".",".",".",".","."
"Professionals","","1570","3.089","31.4","14.6","24.8","13.8","11.4","2.4","0.4","0.1","",".","1.1",".",".",".","0.1",".","."
"","College Total","2259","3.200","34.2","17.2","22.4","11.7","8.6","1.9","0.4","1.0","",".","1.9",".","0.6","0.0","0.0",".","."
