"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","208
002","41","3.835","68.3","24.4",".","2.4",".",".",".",".",".",".",".",".","2.4",".",".","2.4"
"","208
092","144","3.281","23.6","27.1","38.2","6.9","3.5",".","0.7",".",".",".",".",".",".",".",".","."
"Intro Modern Lit, II","Course Total","390","3.236","23.3","27.7","33.6","7.2","5.4","0.8","1.3",".",".",".",".",".","0.3",".",".","0.5"
"","215
001","35","2.871","17.1","17.1","28.6","14.3","17.1","2.9","2.9",".",".",".",".",".",".",".",".","."
"","002
215","111","3.179","18.9","31.5","25.2","14.4","7.2",".","0.9",".",".",".",".",".",".","0.9",".","0.9"
"","215
003","29","3.345","24.1","34.5","27.6","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","175","3.150","19.4","29.1","26.3","14.3","8.0","0.6","1.1",".",".",".",".",".",".","0.6",".","0.6"
"English Lit 1800-Present","216
003","106","3.236","27.4","33.0","23.6","6.6","4.7","1.9","2.8",".",".",".",".",".",".",".",".","."
"","217
002","38","3.424","34.2","23.7","28.9","10.5",".",".",".","2.6",".",".",".",".",".",".",".","."
"","003
217","72","3.201","22.2","29.2","31.9","5.6","6.9","1.4","1.4",".",".",".",".",".",".",".",".","1.4"
"American Lit 1620-Present","Course Total","110","3.265","26.4","27.3","30.9","7.3","4.5","0.9","0.9","0.9",".",".",".",".",".",".",".","0.9"
"Shakespearean Drama","220
001","155","2.652","8.4","11.0","36.8","15.5","16.8","3.9","5.2","0.6",".",".",".",".",".",".",".","1.9"
"Bascom Course","236
001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","300
003","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","31","3.850","67.7","29.0",".",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"","001
301","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","14","3.393","28.6","64.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","301
003","14","3.286","50.0","14.3","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","301
004","14","3.643","50.0","42.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","58","3.569","53.4","34.5","3.4","3.4","1.7",".","3.4",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302
001","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","14","3.464","57.1","21.4","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Creative Writing: Workshop","307
001","13","3.231","69.2",".","7.7",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309
001","17","3.471","17.6","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Expository&Critical Writing","001
315","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Internship","318
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beowulf","322
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Structure of English-Tchrs","324
001","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
003","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
004","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"ESL: Acad Skills Workshops","Course Total","33","",".",".",".",".",".",".",".",".",".","97.0",".",".",".",".",".","."
"The Structure of English","329
001","38","3.338","52.6","2.6","31.6",".","2.6","5.3","2.6",".",".",".",".",".",".",".",".","2.6"
"English Phonology","330
001","23","3.348","43.5","21.7","17.4","13.0",".",".","4.3",".",".",".",".",".",".",".",".","."
"Studies in Interlanguage","001
332","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Lang Learning","333
002","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334
001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Techniques & Materials","335
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
