"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","110
001","19","",".",".",".",".",".",".",".",".",".","89.5","10.5",".",".",".",".","."
"","110
002","18","",".",".",".",".",".",".",".",".",".","88.9","5.6",".",".",".",".","5.6"
"","110
003","22","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"","110
004","23","",".",".",".",".",".",".",".",".",".","78.3","17.4",".",".","4.3",".","."
"","110
005","23","",".",".",".",".",".",".",".",".",".","91.3","8.7",".",".",".",".","."
"","110
006","20","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"","007
110","23","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"","008
110","24","",".",".",".",".",".",".",".",".",".","87.5","8.3",".",".",".",".","4.2"
"","009
110","23","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"","110
010","14","",".",".",".",".",".",".",".",".",".","71.4","28.6",".",".",".",".","."
"","011
110","16","",".",".",".",".",".",".",".",".",".","68.8","31.3",".",".",".",".","."
"","110
012","25","",".",".",".",".",".",".",".",".",".","68.0","28.0",".",".",".",".","4.0"
"","110
013","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
014","18","",".",".",".",".",".",".",".",".",".","72.2","27.8",".",".",".",".","."
"","110
015","17","",".",".",".",".",".",".",".",".",".","88.2","11.8",".",".",".",".","."
"","016
110","17","",".",".",".",".",".",".",".",".",".","58.8","35.3",".",".",".",".","5.9"
"","017
110","12","",".",".",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".","."
"","018
110","7","",".",".",".",".",".",".",".",".",".","57.1","42.9",".",".",".",".","."
"Elementary Programming","Course Total","339","",".",".",".",".",".",".",".",".",".","83.2","15.3",".",".","0.3",".","1.2"
"","132
001","235","3.575","45.5","31.1","13.2","4.3","2.1",".","0.4","2.6",".",".",".",".",".",".","0.4","0.4"
"","132
002","205","3.518","39.5","35.1","16.1","2.9","2.0","1.0","0.5","1.0",".",".",".",".",".","1.5",".","0.5"
"","132
003","240","3.366","35.4","22.5","33.3","2.1","4.6","0.4","1.3",".",".",".",".",".",".",".",".","0.4"
"","132
004","224","3.363","32.1","21.9","34.8","3.6","4.9","0.4",".","2.2",".",".",".",".",".",".",".","."
"Using Computers","Course Total","904","3.453","38.2","27.4","24.6","3.2","3.4","0.4","0.6","1.4",".",".",".",".",".","0.3","0.1","0.3"
"","302
001","123","2.692","22.8","13.0","17.9","10.6","10.6","7.3","8.9","7.3",".",".",".",".",".",".",".","1.6"
"","302
002","108","2.524","20.4","10.2","18.5","14.8","15.7","6.5","12.0",".",".",".",".",".",".",".",".","1.9"
"","003
302","16","3.031","31.3","18.8","12.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","004
302","16","2.781","6.3","18.8","18.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","302
006","19","2.632","15.8","15.8","36.8","5.3","5.3","10.5","10.5",".",".",".",".",".",".",".",".","."
"","302
007","22","2.881","13.6","18.2","31.8","13.6","13.6",".","4.5","4.5",".",".",".",".",".",".",".","."
"","302
008","18","2.583","16.7","11.1","27.8","5.6","22.2","11.1","5.6",".",".",".",".",".",".",".",".","."
"","010
302","16","3.031","37.5","6.3","31.3","12.5",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","011
302","14","2.192","14.3","21.4",".",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".","7.1"
"","302
012","16","2.767","12.5","18.8","31.3",".","18.8","12.5",".",".",".",".",".",".",".","6.3",".","."
"","015
302","22","2.455","22.7","18.2","18.2",".","9.1","18.2","13.6",".",".",".",".",".",".",".",".","."
"","302
016","21","2.800","19.0","9.5","14.3","9.5","9.5","4.8","4.8","9.5",".",".",".",".","4.8",".",".","14.3"
"","302
018","19","2.389","15.8","5.3","26.3","5.3","15.8","21.1","5.3",".",".",".",".",".","5.3",".",".","."
"","302
020","20","2.441","15.0","15.0","15.0","10.0","10.0","5.0","15.0","10.0",".",".",".",".",".",".",".","5.0"
"","302
021","16","2.857","12.5","25.0","18.8","12.5","6.3","12.5",".","6.3",".",".",".",".",".",".",".","6.3"
"","302
029","22","2.295","22.7",".","31.8","4.5","4.5","22.7","13.6",".",".",".",".",".",".",".",".","."
"","031
302","19","2.526","15.8","26.3","10.5","15.8","10.5","5.3","15.8",".",".",".",".",".",".",".",".","."
"","033
302","19","2.111","5.3","21.1","10.5",".","31.6","10.5","15.8",".",".",".",".",".",".",".",".","5.3"
"","302
041","20","2.947","20.0","15.0","20.0","15.0","25.0",".",".",".",".",".",".",".","5.0",".",".","."
"Introduction to Programming","Course Total","546","2.617","19.2","13.7","20.0","10.6","13.7","8.4","8.8","2.7",".",".",".",".","0.5","0.2",".","2.0"
"","310
001","104","2.519","13.5","11.5","12.5","23.1","26.0","10.6","2.9",".",".",".",".",".",".",".",".","."
