"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","33","3.076","27.3","12.1","30.3","15.2","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"","215","002","","72","2.852","13.9","13.9","27.8","20.8","19.4","2.8",".",".",".",".",".",".",".","1.4",".","."
"Intro to Agr & Applied Econ","","Course Total","","105","2.923","18.1","13.3","28.6","19.0","17.1","2.9",".",".",".",".",".",".",".","1.0",".","."
"","299","064","","8","3.778","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","299","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","10","3.692","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","","18","3.265","27.8","27.8","16.7","11.1","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Commodity Markets","322","001","","41","2.646","12.2","14.6","24.4","17.1","19.5","9.8","2.4",".",".",".",".",".",".",".",".","."
"Agric & Natrl Resources Law","336","001","","20","3.125","25.0","5.0","45.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","","15","3.346","33.3","13.3","26.7","6.7","6.7",".",".","6.7",".",".",".",".",".",".","6.7","."
"World Hunger & Malnutrition","350","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Production Economics","420","001","","22","3.250","36.4","13.6","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421","001","","23","3.174","13.0","43.5","30.4",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","7","3.143","14.3","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","7","3.220","28.6","42.9",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","575","001","","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Grth&Cl Struc-LowIncCntries","577","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal","636","001","","15","3.679","40.0","46.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Energy Economics","671","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","","Course Total","","11","3.654","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomics","705","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics-Ag Developmt","731","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum: Ag Econ Teaching","799","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
