"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","3339","3.539","36.3","18.7","20.3","1.6","0.8","0.8","0.2","21.2","",".",".",".","",".","0.2",".",".","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Special","","23","3.463","30.4","17.4","8.7",".","8.7",".",".","34.8","",".",".",".","",".",".",".",".","."
"Graduate","","108","3.495","33.3","33.3","21.3","0.9",".",".","1.9","8.3","",".",".",".","",".","0.9",".",".","."
"Prof Yr 1","","1967","3.527","36.1","19.9","24.4","1.7","0.8","0.4","0.1","16.5","",".",".",".","",".","0.1",".",".","."
"Prof Yr 2","","1027","3.609","38.9","15.4","13.2","1.3","0.7","1.1","0.1","29.3","",".",".",".","",".","0.1",".",".","."
"Prof Yr 3","","201","3.339","29.4","17.4","17.4","2.0","1.0","3.5","1.0","26.9","",".",".",".","",".","1.0",".",".","0.5"
"Prof Yr 4","","11","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Professionals","","3206","3.541","36.4","18.2","20.3","1.6","0.8","0.8","0.1","21.6","",".",".",".","",".","0.2",".",".","0.0"
"","College Total","3339","3.539","36.3","18.7","20.3","1.6","0.8","0.8","0.2","21.2","",".",".",".","",".","0.2",".",".","0.0"
