"","990
044","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
047","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
051","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research and Thesis","Course Total","12","4.000","58.3",".",".",".",".",".",".","41.7","",".",".","",".","",".",".",".",".","."
"ANATOMY
144","Dept. Total","314","3.419","52.5","6.1","21.3","4.1","9.9","2.9","0.6","1.9","",".",".","",".","",".","0.3",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","2.094","10.0",".","20.0","20.0","20.0","20.0","10.0",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","70","3.083","37.1","10.0","24.3","2.9","20.0","5.7",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","91","3.368","48.4","4.4","30.8","4.4","8.8","2.2","1.1",".","",".",".","",".","",".",".",".",".","."
"Senior","","76","3.597","60.5","9.2","18.4","2.6","6.6","1.3",".",".","",".",".","",".","",".",".",".",".","1.3"
"Undergraduates","","247","3.320","47.4","7.3","24.7","4.0","11.7","3.6","0.8",".","",".",".","",".","",".",".",".",".","0.4"
"Special","","17","3.544","52.9",".","29.4","5.9",".",".",".","5.9","",".",".","",".","",".","5.9",".",".","."
"Graduate","","24","3.767","62.5","4.2","4.2","4.2","4.2",".",".","20.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","19","3.920","94.7",".",".",".","5.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","26","3.897","92.3",".",".","3.8","3.8",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","314","3.419","52.5","6.1","21.3","4.1","9.9","2.9","0.6","1.9","",".",".","",".","",".","0.3",".",".","0.3"
