"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","145","3.269","24.8","36.6","20.0","9.7","4.8","1.4","1.4",".",".",".",".",".","0.7",".",".","0.7"
"","120","001","123","3.096","29.3","17.9","19.5","13.0","16.3","1.6","0.8","0.8",".",".",".",".",".","0.8",".","."
"","120","002","127","2.823","15.0","18.9","23.6","22.8","11.8","4.7","3.1",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","250","2.956","22.0","18.4","21.6","18.0","14.0","3.2","2.0","0.4",".",".",".",".",".","0.4",".","."
"Atmspherc Envirnmnt&Society","121","001","59","2.741","11.9","15.3","16.9","25.4","27.1",".","1.7","1.7",".",".",".",".",".",".",".","."
"","127","001","82","2.772","25.6","9.8","24.4","8.5","17.1","8.5","4.9",".",".",".",".",".",".",".",".","1.2"
"","127","002","196","3.028","24.0","16.3","27.6","14.8","13.3","3.6","0.5",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","278","2.953","24.5","14.4","26.6","12.9","14.4","5.0","1.8",".",".",".",".",".",".",".",".","0.4"
"Bascom Course","236","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","2.571","14.3","42.9",".","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","6","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","10","2.611",".","10.0","30.0","40.0",".","10.0",".",".",".",".",".",".",".","10.0",".","."
"Human Role-Changing Earth","303","001","47","3.348","34.0","14.9","27.7","10.6","6.4",".",".","6.4",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","56","2.893","16.1","12.5","32.1","12.5","26.8",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","42","3.263","23.8","33.3","16.7","11.9","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Our Hazardous Environment","336","001","58","2.897","20.7","13.8","32.8","17.2","5.2","6.9","3.4",".",".",".",".",".",".",".",".","."
"","339","001","47","2.652","14.9","10.6","29.8","6.4","23.4","10.6","2.1",".",".",".",".",".",".",".",".","2.1"
"","339","002","64","2.706","15.6","18.8","20.3","7.8","28.1","1.6","6.3","1.6",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","111","2.683","15.3","15.3","24.3","7.2","26.1","5.4","4.5","0.9",".",".",".",".",".",".",".","0.9"
"The American West","344","001","45","3.442","44.4","20.0","13.3","11.1","6.7",".",".","2.2",".",".",".",".","2.2",".",".","."
"Africa, South of the Sahara","355","001","30","2.900","16.7","13.3","33.3","20.0","13.3",".","3.3",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","36","2.914","16.7","19.4","27.8","19.4","5.6","5.6","2.8",".",".",".",".",".",".","2.8",".","."
"Colloq-Undergraduate Majors","365","001","21","3.375","23.8","42.9","19.0",".","9.5",".",".",".",".",".",".",".",".","4.8",".","."
"Introduction to Cartography","370","001","40","3.413","32.5","40.0","12.5","7.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","49","3.020","30.6","14.3","26.5","10.2","10.2","4.1","4.1",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","30","3.536","40.0","20.0","33.3",".",".",".",".","3.3",".",".",".",".",".",".","3.3","."
"Advanced Landform Geography","524","001","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Climates","531","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","17","3.176","23.5","29.4","23.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","21","3.025","14.3","14.3","33.3","28.6","4.8",".",".",".",".",".",".",".",".",".","4.8","."
"Internship","602","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","675","001","20","3.670","50.0","20.0","5.0","10.0",".",".",".","10.0",".",".",".",".","5.0",".",".","."
"Senior Honors Thesis","682","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 205 of 374",""
