"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","001
362","24","2.913","8.3","16.7","50.0","8.3","8.3",".","4.2",".",".",".",".",".","4.2",".",".","."
"","002
362","80","3.101","13.8","31.3","33.8","8.8","8.8","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"","003
362","98","2.973","16.3","18.4","30.6","15.3","5.1","6.1","1.0","7.1",".",".",".",".",".",".",".","."
"","362
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Young Child","Course Total","205","3.033","15.6","22.9","33.7","11.7","6.8","3.4","1.5","3.9",".",".",".",".","0.5",".",".","."
"","363
001","40","3.000","22.5","7.5","40.0","12.5","10.0","5.0",".",".",".",".",".",".",".","2.5",".","."
"","002
363","195","2.976","13.3","14.4","35.9","21.0","9.7","0.5","0.5","4.1",".",".",".",".",".",".",".","0.5"
"Develp: Adolescence-Old Age","Course Total","235","2.980","14.9","13.2","36.6","19.6","9.8","1.3","0.4","3.4",".",".",".",".",".","0.4",".","0.4"
"Intellect Develop&Preschool","460
001","26","3.692","73.1","19.2",".","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Soc&Emotnl Dev-Early Educ","461
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Laboratory","463
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","30","3.467","26.7","43.3","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","34","3.379","38.2","17.6","35.3","2.9",".",".","2.9",".",".",".",".",".","2.9",".",".","."
"Hist of Motherhood in Amer","473
001","19","3.227","31.6","26.3","15.8","15.8",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","32","3.484","53.1","28.1","6.3","3.1",".",".","6.3",".",".",".",".",".","3.1",".",".","."
"Special Topics","501
001","33","3.167","27.3","12.1","45.5","9.1","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","31","3.210","25.8","32.3","22.6","9.7","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","38","3.311","23.7","31.6","36.8","2.6",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","21","3.357","33.3","38.1","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","601
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
008","6","3.857","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","26","3.889","84.6","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Devel Eth/Minorty Chldn","726
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
766","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","766
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 139 of 374",""
