"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"","310
002","","31","3.226","12.9","35.5","35.5","16.1",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Cost Accounting","Course Total","","76","3.243","10.5","35.5","46.1","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"","329
001","","7","3.250",".","57.1","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"","329
002","","12","3.182","16.7","16.7","41.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","","19","3.206","10.5","31.6","31.6","15.8",".",".",".","10.5",".",".",".",".",".",".",".","."
"","340
001","","25","3.160","12.0","24.0","52.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","340
002","","45","3.189","24.4","11.1","51.1","4.4","8.9",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","","70","3.179","20.0","15.7","51.4","5.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"","399
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","","11","3.953","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","","35","3.229","37.1","8.6","31.4","14.3","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","406
002","","16","2.844","18.8","6.3","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","","51","3.108","31.4","7.8","29.4","17.6","11.8","2.0",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","52","3.961","94.2","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","40","3.313","35.0","17.5","35.0","5.0","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"","620
002","","41","3.049","24.4","26.8","12.2","17.1","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","","81","3.179","29.6","22.2","23.5","11.1","9.9","3.7",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","","20","3.175","30.0","15.0","30.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","44","3.250","20.5","20.5","50.0","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","13","3.077","15.4","23.1","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","","57","3.211","19.3","21.1","45.6","10.5","3.5",".",".",".",".",".",".",".",".",".",".","."
"Computerized Info Systems","001
631","","29","3.690","55.2","27.6","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","40","3.359","27.5","20.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".","2.5","."
"Financial Reporting I","701
001","","17","3.588","58.8","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","","38","3.434","34.2","23.7","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","40","3.487","47.5","17.5","22.5","7.5",".","2.5",".",".",".",".",".",".",".","2.5",".","."
"Managerial Accounting","Course Total","","78","3.461","41.0","20.5","29.5","6.4",".","1.3",".",".",".",".",".",".",".","1.3",".","."
"Federal Estate&Gift Taxatn","723
001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","","32","3.391","18.8","46.9","31.3",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","","30","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mgmnt Cntrl & Cost Acct","Course Total","","53","3.811","71.7","18.9","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
