"","990
019","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
021","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
024","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","16","4.000","31.3",".",".",".",".",".",".","43.8","",".",".","",".","25.0","",".",".",".","."
"BSE
112","Dept. Total","225","2.974","20.4","23.1","20.0","10.2","9.8","5.8","2.7","3.6","",".",".","",".","1.8","",".","2.2",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.500",".","50.0",".",".",".",".",".",".","",".",".","",".",".","",".","50.0",".","."
"Sophomore","","25","2.957","20.0","32.0","12.0","8.0","12.0","8.0","8.0",".","",".",".","",".",".","",".",".",".","."
"Junior","","52","2.958","13.5","25.0","21.2","19.2","9.6","1.9","3.8",".","",".",".","",".",".","",".","3.8",".","1.9"
"Senior","","108","2.773","19.4","25.0","23.1","10.2","11.1","9.3","1.9",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","187","2.851","17.6","26.2","20.9","12.3","10.7","7.0","3.2",".","",".",".","",".",".","",".","1.6",".","0.5"
"Special","","6","2.714","16.7",".","16.7",".","33.3",".",".",".","",".",".","",".",".","",".","33.3",".","."
"Graduate","","32","3.713","37.5","9.4","15.6",".",".",".",".","25.0","",".",".","",".","12.5","",".",".",".","."
"","Dept. Total","225","2.974","20.4","23.1","20.0","10.2","9.8","5.8","2.7","3.6","",".",".","",".","1.8","",".","2.2",".","0.4"
