"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","9","3.250",".","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"","002
101","","9","3.222","22.2","22.2","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","18","3.235","11.1","38.9","27.8","16.7",".",".",".",".",".",".",".",".",".","5.6",".","."
"","102
001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","23","3.609","39.1","43.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
002","","8","3.643","62.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","12.5"
"Elementary Class Piano","Course Total","","9","3.688","66.7","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1"
"Intermediate Class Piano","104
002","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Double Reeds","12
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","148
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-High Brass","18
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
003","","10","3.750","60.0","10.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","201
008","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
054","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
067","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
068","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","47","3.726","55.3","23.4","14.9",".",".",".",".","2.1",".",".",".",".","2.1","2.1",".","."
"Elem/Intmed Organ","203
042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","9","3.896","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","061
205","","9","3.696","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","062
205","","6","3.531","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
069","","11","3.545","45.5","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","37","3.697","51.4","40.5","5.4",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","8","3.667","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227
033","","7","3.900","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 254 of 374",""
